"time","current"
0.0,-15.2587890625
0.1,-13.73291015625
0.2,-16.17431640625
0.3,-19.22607421875
0.4,-16.4794921875
0.5,-14.6484375
0.6,-16.78466796875
0.7,-17.39501953125
0.8,-21.66748046875
0.9,-24.71923828125
1.0,-14.34326171875
1.1,-14.0380859375
1.2,-12.20703125
1.3,-19.22607421875
1.4,-19.83642578125
1.5,-20.1416015625
1.6,-16.4794921875
1.7,-21.3623046875
1.8,-22.88818359375
1.9,-18.00537109375
2.0,-13.73291015625
2.1,-14.6484375
2.2,-24.4140625
2.3,-19.83642578125
2.4,-18.310546875
2.5,-19.22607421875
2.6,-15.2587890625
2.7,-15.2587890625
2.8,-12.51220703125
2.9,-16.4794921875
3.0,-20.1416015625
3.1,-16.78466796875
3.2,-13.12255859375
3.3,-17.08984375
3.4,-22.27783203125
3.5,-18.310546875
3.6,-12.20703125
3.7,-19.83642578125
3.8,-23.8037109375
3.9,-18.00537109375
4.0,-18.310546875
4.1,-20.751953125
4.2,-17.39501953125
4.3,-14.34326171875
4.4,-13.427734375
4.5,-22.27783203125
4.6,-28.076171875
4.7,-21.97265625
4.8,-10.68115234375
4.9,-8.23974609375
5.0,-14.0380859375
5.1,-19.83642578125
5.2,-17.39501953125
5.3,-20.751953125
5.4,-19.53125
5.5,-22.5830078125
5.6,-17.08984375
5.7,-16.4794921875
5.8,-23.49853515625
5.9,-25.0244140625
6.0,-20.44677734375
6.1,-14.34326171875
6.2,-17.39501953125
6.3,-19.22607421875
6.4,-21.3623046875
6.5,-19.22607421875
6.6,-10.986328125
6.7,-16.78466796875
6.8,-18.310546875
6.9,-22.88818359375
7.0,-24.4140625
7.1,-19.83642578125
7.2,-17.39501953125
7.3,-23.193359375
7.4,-18.9208984375
7.5,-15.56396484375
7.6,-14.6484375
7.7,-18.61572265625
7.8,-18.00537109375
7.9,-18.310546875
8.0,-12.51220703125
8.1,-13.73291015625
8.2,-18.00537109375
8.3,-26.85546875
8.4,-20.1416015625
8.5,-16.78466796875
8.6,-16.4794921875
8.7,-18.61572265625
8.8,-17.39501953125
8.9,-16.17431640625
9.0,-18.00537109375
9.1,-22.27783203125
9.2,-20.1416015625
9.3,-17.39501953125
9.4,-11.90185546875
9.5,-18.00537109375
9.6,-14.95361328125
9.7,-19.83642578125
9.8,-21.97265625
9.9,-21.66748046875
10.0,-20.1416015625
10.1,-16.17431640625
10.2,-17.7001953125
10.3,-18.9208984375
10.4,-22.88818359375
10.5,-25.0244140625
10.6,-16.78466796875
10.7,-16.17431640625
10.8,-12.20703125
10.9,-19.22607421875
11.0,-16.78466796875
11.1,-16.78466796875
11.2,-15.869140625
11.3,-21.05712890625
11.4,-21.05712890625
11.5,-18.310546875
11.6,-14.0380859375
11.7,-14.6484375
11.8,-18.61572265625
11.9,-19.22607421875
12.0,-13.427734375
12.1,-16.4794921875
12.2,-18.9208984375
12.3,-20.1416015625
12.4,-12.8173828125
12.5,-18.00537109375
12.6,-18.310546875
12.7,-19.22607421875
12.8,-17.7001953125
12.9,-19.53125
13.0,-13.427734375
13.1,-17.7001953125
13.2,-17.7001953125
13.3,-15.56396484375
13.4,-17.7001953125
13.5,-17.39501953125
13.6,-15.869140625
13.7,-22.5830078125
13.8,-16.17431640625
13.9,-13.73291015625
14.0,-15.869140625
14.1,-21.97265625
14.2,-17.39501953125
14.3,-14.0380859375
14.4,-15.2587890625
14.5,-11.29150390625
14.6,-15.2587890625
14.7,-10.986328125
14.8,-14.6484375
14.9,-21.3623046875
15.0,-19.22607421875
15.1,-16.78466796875
15.2,-17.08984375
15.3,-10.07080078125
15.4,-14.95361328125
15.5,-23.193359375
15.6,-20.44677734375
15.7,-20.44677734375
15.8,-18.310546875
15.9,-18.61572265625
16.0,-11.5966796875
16.1,-14.0380859375
16.2,-15.869140625
16.3,-14.34326171875
16.4,-19.22607421875
16.5,-19.83642578125
16.6,-15.56396484375
16.7,-15.56396484375
16.8,-11.90185546875
16.9,-19.22607421875
17.0,-19.22607421875
17.1,-16.78466796875
17.2,-18.9208984375
17.3,-18.00537109375
17.4,-18.61572265625
17.5,-20.1416015625
17.6,-14.0380859375
17.7,-8.544921875
17.8,-19.22607421875
17.9,-20.751953125
18.0,-11.5966796875
18.1,-20.44677734375
18.2,-18.00537109375
18.3,-14.0380859375
18.4,-18.9208984375
18.5,-23.193359375
18.6,-23.49853515625
18.7,-16.4794921875
18.8,-14.95361328125
18.9,-16.17431640625
19.0,-15.56396484375
19.1,-16.78466796875
19.2,-14.34326171875
19.3,-23.193359375
19.4,-17.08984375
19.5,-21.05712890625
19.6,-19.22607421875
19.7,-18.61572265625
19.8,-14.95361328125
19.9,-14.0380859375
20.0,-15.869140625
20.1,-17.7001953125
20.2,-14.34326171875
20.3,-20.751953125
20.4,-18.00537109375
20.5,-14.6484375
20.6,-17.39501953125
20.7,-18.61572265625
20.8,-15.869140625
20.9,-21.97265625
21.0,-20.44677734375
21.1,-17.08984375
21.2,-18.310546875
21.3,-20.751953125
21.4,-15.2587890625
21.5,-18.61572265625
21.6,-21.05712890625
21.7,-19.83642578125
21.8,-24.10888671875
21.9,-20.751953125
22.0,-18.310546875
22.1,-19.53125
22.2,-19.22607421875
22.3,-21.05712890625
22.4,-17.7001953125
22.5,-15.869140625
22.6,-14.6484375
22.7,-21.3623046875
22.8,-22.88818359375
22.9,-18.9208984375
23.0,-17.7001953125
23.1,-18.00537109375
23.2,-18.61572265625
23.3,-19.83642578125
23.4,-19.53125
23.5,-19.83642578125
23.6,-19.22607421875
23.7,-20.1416015625
23.8,-21.3623046875
23.9,-21.66748046875
24.0,-16.4794921875
24.1,-19.53125
24.2,-18.310546875
24.3,-18.00537109375
24.4,-14.95361328125
24.5,-19.83642578125
24.6,-19.22607421875
24.7,-19.83642578125
24.8,-17.39501953125
24.9,-17.7001953125
25.0,-28.99169921875
25.1,159.60693359375
25.2,264.892578125
25.3,164.1845703125
25.4,44.5556640625
25.5,-4.2724609375
25.6,-21.3623046875
25.7,-19.53125
25.8,-27.16064453125
25.9,-29.9072265625
26.0,-28.38134765625
26.1,-34.48486328125
26.2,-41.80908203125
26.3,-35.400390625
26.4,-36.0107421875
26.5,-35.09521484375
26.6,-39.36767578125
26.7,-45.7763671875
26.8,-41.50390625
26.9,-45.47119140625
27.0,-43.3349609375
27.1,-42.724609375
27.2,-40.8935546875
27.3,-45.166015625
27.4,-41.80908203125
27.5,-42.41943359375
27.6,-44.25048828125
27.7,-53.1005859375
27.8,-45.166015625
27.9,-41.50390625
28.0,-49.4384765625
28.1,-44.86083984375
28.2,-46.9970703125
28.3,-46.69189453125
28.4,-41.19873046875
28.5,-47.607421875
28.6,-46.9970703125
28.7,-46.69189453125
28.8,-47.30224609375
28.9,-41.19873046875
29.0,-46.9970703125
29.1,-47.607421875
29.2,-44.25048828125
29.3,-43.02978515625
29.4,-48.52294921875
29.5,-42.41943359375
29.6,-43.9453125
29.7,-49.13330078125
29.8,-48.2177734375
29.9,-39.6728515625
30.0,-40.58837890625
30.1,-53.7109375
30.2,-51.8798828125
30.3,-44.86083984375
30.4,-40.8935546875
30.5,-44.25048828125
30.6,-46.9970703125
30.7,-43.9453125
30.8,-49.4384765625
30.9,-44.5556640625
31.0,-50.6591796875
31.1,-45.7763671875
31.2,-40.8935546875
31.3,-40.283203125
31.4,-42.1142578125
31.5,-46.08154296875
31.6,-49.4384765625
31.7,-50.35400390625
31.8,-47.30224609375
31.9,-44.5556640625
32.0,-47.91259765625
32.1,-49.13330078125
32.2,-46.9970703125
32.3,-47.91259765625
32.4,-46.38671875
32.5,-43.9453125
32.6,-42.724609375
32.7,-48.2177734375
32.8,-52.490234375
32.9,-46.69189453125
33.0,-43.02978515625
33.1,-45.166015625
33.2,-46.9970703125
33.3,-48.2177734375
33.4,-51.8798828125
33.5,-48.828125
33.6,-45.47119140625
33.7,-43.02978515625
33.8,-46.38671875
33.9,-43.02978515625
34.0,-42.41943359375
34.1,-44.86083984375
34.2,-46.69189453125
34.3,-46.69189453125
34.4,-49.13330078125
34.5,-46.9970703125
34.6,-42.724609375
34.7,-44.5556640625
34.8,-45.47119140625
34.9,-45.47119140625
35.0,-43.3349609375
35.1,-43.9453125
35.2,-44.5556640625
35.3,-52.18505859375
35.4,-50.048828125
35.5,-45.47119140625
35.6,-45.166015625
35.7,-43.9453125
35.8,-46.08154296875
35.9,-48.828125
36.0,-44.5556640625
36.1,-45.166015625
36.2,-49.4384765625
36.3,-46.69189453125
36.4,-46.08154296875
36.5,-41.80908203125
36.6,-43.9453125
36.7,-42.41943359375
36.8,-47.607421875
36.9,-49.13330078125
37.0,-48.2177734375
37.1,-48.828125
37.2,-47.30224609375
37.3,-46.69189453125
37.4,-48.828125
37.5,-47.607421875
37.6,-50.35400390625
37.7,-48.2177734375
37.8,-48.2177734375
37.9,-46.69189453125
38.0,-49.4384765625
38.1,-47.607421875
38.2,-46.69189453125
38.3,-41.19873046875
38.4,-42.724609375
38.5,-49.4384765625
38.6,-53.1005859375
38.7,-46.69189453125
38.8,-47.607421875
38.9,-47.607421875
39.0,-48.828125
39.1,-50.96435546875
39.2,-46.69189453125
39.3,-42.724609375
39.4,-51.57470703125
39.5,-46.08154296875
39.6,-48.2177734375
39.7,-47.607421875
39.8,-49.4384765625
39.9,-47.91259765625
40.0,-43.3349609375
40.1,-47.91259765625
40.2,-46.38671875
40.3,-47.607421875
40.4,-50.96435546875
40.5,-54.62646484375
40.6,-52.79541015625
40.7,-37.53662109375
40.8,-45.47119140625
40.9,-44.5556640625
41.0,-46.38671875
41.1,-43.3349609375
41.2,-47.91259765625
41.3,-45.166015625
41.4,-51.26953125
41.5,-47.30224609375
41.6,-49.74365234375
41.7,-49.4384765625
41.8,-49.13330078125
41.9,-46.38671875
42.0,-45.166015625
42.1,-43.9453125
42.2,-41.19873046875
42.3,-46.08154296875
42.4,-53.1005859375
42.5,-49.13330078125
42.6,-48.2177734375
42.7,-44.25048828125
42.8,-46.9970703125
42.9,-43.3349609375
43.0,-48.2177734375
43.1,-50.6591796875
43.2,-53.40576171875
43.3,-43.64013671875
43.4,-40.283203125
43.5,-43.3349609375
43.6,-44.5556640625
43.7,-47.91259765625
43.8,-48.2177734375
43.9,-47.91259765625
44.0,-53.1005859375
44.1,-47.30224609375
44.2,-46.9970703125
44.3,-49.74365234375
44.4,-45.166015625
44.5,-40.283203125
44.6,-47.30224609375
44.7,-51.26953125
44.8,-43.64013671875
44.9,-41.80908203125
45.0,-47.91259765625
45.1,-51.26953125
45.2,-45.47119140625
45.3,-45.166015625
45.4,-51.8798828125
45.5,-45.7763671875
45.6,-43.64013671875
45.7,-38.14697265625
45.8,-39.36767578125
45.9,-43.02978515625
46.0,-41.50390625
46.1,-43.64013671875
46.2,-49.74365234375
46.3,-44.86083984375
46.4,-43.3349609375
46.5,-41.80908203125
46.6,-44.5556640625
46.7,-40.283203125
46.8,-43.02978515625
46.9,-43.3349609375
47.0,-45.166015625
47.1,-39.6728515625
47.2,-41.19873046875
47.3,-41.50390625
47.4,-42.41943359375
47.5,-45.166015625
47.6,-49.4384765625
47.7,-39.36767578125
47.8,-43.9453125
47.9,-41.19873046875
48.0,-42.1142578125
48.1,-40.58837890625
48.2,-44.5556640625
48.3,-48.52294921875
48.4,-49.74365234375
48.5,-43.3349609375
48.6,-40.8935546875
48.7,-43.02978515625
48.8,-43.3349609375
48.9,-48.828125
49.0,-54.01611328125
49.1,-48.828125
49.2,-46.08154296875
49.3,-44.25048828125
49.4,-43.02978515625
49.5,-40.283203125
49.6,-39.36767578125
49.7,-50.048828125
49.8,-45.47119140625
49.9,-43.9453125
50.0,-45.166015625
50.1,-45.47119140625
50.2,-42.724609375
50.3,-41.19873046875
50.4,-46.08154296875
50.5,-43.64013671875
50.6,-46.69189453125
50.7,-47.30224609375
50.8,-44.5556640625
50.9,-40.58837890625
51.0,-50.048828125
51.1,-45.166015625
51.2,-37.2314453125
51.3,-39.97802734375
51.4,-44.5556640625
51.5,-44.25048828125
51.6,-45.166015625
51.7,-47.607421875
51.8,-47.91259765625
51.9,-47.607421875
52.0,-46.08154296875
52.1,-39.97802734375
52.2,-41.19873046875
52.3,-44.5556640625
52.4,-49.13330078125
52.5,-44.25048828125
52.6,-42.724609375
52.7,-43.3349609375
