Iter. Eval.  Best      Time m:s
0     12     -3.18e+12   0:00.7
1     24     -2.61e+12   0:01.0
2     36     -2.05e+12   0:01.2
3     48     -1.35e+12   0:01.5
20    252    -1.27e+10   0:06.3
40    492    -1.1e+10    0:11.7
60    732    -1.02e+10   0:16.6
80    972    -9.24e+09   0:22.1
100   1212   -8.09e+09   0:27.1
120   1452   -7.13e+09   0:31.9
140   1692   -5.7e+09    0:36.9
160   1932   -5.41e+09   0:42.2
180   2172   -5.4e+09    0:47.4
200   2412   -5.39e+09   0:52.8
220   2652   -5.38e+09   0:58.1
240   2892   -5.37e+09   1:03.5
260   3132   -5.35e+09   1:08.8
280   3372   -5.33e+09   1:14.3
300   3612   -5.31e+09   1:19.8
320   3852   -5.24e+09   1:25.3
340   4092   -3.94e+09   1:30.2
360   4332   -3.44e+09   1:34.9
380   4572   -3.1e+09    1:39.7
400   4812   -2.95e+09   1:44.9
420   5052   -2.81e+09   1:50.3
440   5292   -2.68e+09   1:55.8
460   5532   -2.39e+09   2:00.7
480   5772   -2.3e+09    2:05.5
500   6012   -2.11e+09   2:11.0
520   6252   -1.9e+09    2:17.2
540   6492   -1.74e+09   2:22.5
560   6732   -1.68e+09   2:28.2
580   6972   -1.61e+09   2:33.2
600   7212   -1.52e+09   2:38.6
620   7452   -1.43e+09   2:44.0
640   7692   -1.37e+09   2:48.9
660   7932   -1.36e+09   2:54.0
680   8172   -1.35e+09   2:58.7
700   8412   -1.35e+09   3:03.7
720   8652   -1.33e+09   3:08.6
740   8892   -1.32e+09   3:13.8
760   9132   -1.32e+09   3:18.9
780   9372   -1.31e+09   3:23.7
800   9612   -1.31e+09   3:28.7
820   9852   -1.31e+09   3:33.7
840   10092  -1.31e+09   3:38.4
860   10332  -1.31e+09   3:43.4
880   10572  -1.31e+09   3:48.6
900   10812  -1.31e+09   3:54.1
920   11052  -1.31e+09   3:58.9
940   11292  -1.29e+09   4:04.6
960   11532  -1.16e+09   4:10.5
980   11772  -1.08e+09   4:15.8
1000  12012  -1.01e+09   4:21.6
1020  12252  -9.83e+08   4:27.6
1040  12492  -8.94e+08   4:32.7
1060  12732  -7.62e+08   4:38.4
1080  12972  -6.98e+08   4:44.7
1100  13212  -5.67e+08   4:50.7
1120  13452  -2.72e+08   4:56.5
1140  13692  -1.79e+08   5:02.1
1160  13932  -1.51e+08   5:07.6
1180  14172  -1.21e+08   5:13.2
1200  14412  -1.06e+08   5:18.8
1220  14652  -7.15e+07   5:24.4
1240  14892  -4.89e+07   5:30.2
1260  15132  -2.85e+07   5:35.7
1280  15372  -1.86e+07   5:41.1
1300  15612  -1.65e+07   5:46.4
1320  15852  -1.57e+07   5:51.8
1340  16092  -1.54e+07   5:57.3
1360  16332  -1.52e+07   6:02.8
1380  16572  -1.46e+07   6:08.9
1400  16812  -1.4e+07    6:15.0
1420  17052  -1.38e+07   6:20.7
1440  17292  -1.36e+07   6:26.1
1460  17532  -1.34e+07   6:31.8
1480  17772  -1.32e+07   6:37.6
1500  18012  -1.32e+07   6:43.7
1520  18252  -1.31e+07   6:50.7
1540  18492  -1.31e+07   6:56.9
1560  18732  -1.3e+07    7:02.3
1580  18972  -1.25e+07   7:08.2
1600  19212  -1.14e+07   7:14.1
1620  19452  -1.09e+07   7:19.9
1640  19692  -1.04e+07   7:25.4
1660  19932  -9913270    7:30.8
1680  20172  -9097376    7:36.2
1700  20412  -8989035    7:41.7
1720  20652  -8914713    7:46.9
1740  20892  -8756583    7:52.5
1760  21132  -8254422    7:57.8
1780  21372  -8073340    8:03.1
1800  21612  -8045833    8:08.4
1820  21852  -8038127    8:13.9
1840  22092  -8031529    8:19.3
1860  22332  -7972068    8:25.9
1880  22572  -7885262    8:32.4
1900  22812  -7857069    8:38.4
1920  23052  -7847182    8:43.6
1940  23292  -7844503    8:48.6
1960  23532  -7843715    8:54.4
1980  23772  -7843502    8:59.7
2000  24012  -7843098    9:06.3
2020  24252  -7842236    9:12.3
2040  24492  -7841182    9:17.8
2060  24732  -7840827    9:23.3
2080  24972  -7840433    9:28.6
2100  25212  -7839875    9:34.1
2120  25452  -7838540    9:39.3
2140  25692  -7838486    9:44.5
2160  25932  -7838303    9:49.7
2180  26172  -7838274    9:55.5
2200  26412  -7838254   10:00.8
2220  26652  -7838237   10:05.7
2240  26892  -7838228   10:10.8
2260  27132  -7838228   10:15.9
2280  27372  -7838223   10:21.1
2300  27612  -7838222   10:26.2
2320  27852  -7838218   10:31.2
2340  28092  -7838217   10:36.6
2360  28332  -7838215   10:42.8
2380  28572  -7838215   10:48.3
2400  28812  -7838214   10:54.0
2420  29052  -7838214   11:00.0
2440  29292  -7838213   11:06.2
2460  29532  -7838213   11:12.0
2480  29772  -7838213   11:18.5
2500  30012  -7838213   11:25.3
2520  30252  -7838213   11:31.1
2540  30492  -7838213   11:37.1
2560  30732  -7838213   11:43.2
2580  30972  -7838213   11:48.7
2600  31212  -7838213   11:54.7
2620  31452  -7838213   12:00.5
2640  31692  -7838213   12:05.5
2660  31932  -7838213   12:10.7
2680  32172  -7838213   12:16.0
2700  32412  -7838213   12:21.1
2720  32652  -7838213   12:26.3
2740  32892  -7838212   12:31.4
2760  33132  -7838212   12:36.4
2780  33372  -7838212   12:41.6
2800  33612  -7838212   12:46.5
2820  33852  -7838212   12:51.5
2840  34092  -7838212   12:56.9
2860  34332  -7838212   13:02.6
2880  34572  -7838212   13:08.7
2900  34812  -7838212   13:14.8
2920  35052  -7838212   13:20.4
2939  35268  -7838212   13:25.6
