Iter. Eval.  Best      Time m:s
0     11     -9.78e+12   0:00.6
1     22     -9.77e+12   0:00.9
2     33     -9.76e+12   0:01.1
3     44     -9.75e+12   0:01.3
20    231    -8.84e+12   0:05.0
40    451    -5.43e+09   0:10.2
60    671    -3.59e+09   0:14.4
80    891    -2.97e+09   0:18.6
100   1111   -2.87e+09   0:22.7
120   1331   -2.69e+09   0:26.8
140   1551   -2.6e+09    0:31.0
160   1771   -2.59e+09   0:35.0
180   1991   -2.56e+09   0:39.1
200   2211   -2.55e+09   0:43.0
220   2431   -2.54e+09   0:47.0
240   2651   -2.53e+09   0:51.2
260   2871   -2.51e+09   0:55.2
280   3091   -2.49e+09   0:59.3
300   3311   -2.45e+09   1:03.7
320   3531   -2.35e+09   1:08.4
340   3751   -2.29e+09   1:12.8
360   3971   -2.22e+09   1:16.8
380   4191   -2.09e+09   1:21.3
400   4411   -1.86e+09   1:25.8
420   4631   -1.79e+09   1:30.5
440   4851   -1.52e+09   1:34.7
460   5071   -1.48e+09   1:38.8
480   5291   -1.47e+09   1:43.2
500   5511   -1.46e+09   1:48.5
520   5731   -1.46e+09   1:53.5
540   5951   -1.45e+09   1:58.1
560   6171   -1.44e+09   2:02.8
580   6391   -1.43e+09   2:07.1
600   6611   -1.36e+09   2:12.0
620   6831   -9.83e+08   2:16.7
640   7051   -8.64e+08   2:21.3
660   7271   -8.28e+08   2:25.8
680   7491   -7.83e+08   2:30.2
700   7711   -7.73e+08   2:34.9
720   7931   -7.7e+08    2:39.3
740   8151   -7.68e+08   2:43.4
760   8371   -7.65e+08   2:47.8
780   8591   -7.6e+08    2:52.1
800   8811   -7.52e+08   2:56.6
820   9031   -7.37e+08   3:00.8
840   9251   -7.11e+08   3:05.5
860   9471   -6.63e+08   3:10.2
880   9691   -5.25e+08   3:14.7
900   9911   -4.24e+08   3:19.2
920   10131  -3.96e+08   3:23.7
940   10351  -3.78e+08   3:28.5
960   10571  -3.56e+08   3:33.4
980   10791  -3.34e+08   3:38.6
1000  11011  -3.13e+08   3:43.9
1020  11231  -3.07e+08   3:49.2
1040  11451  -3.04e+08   3:53.6
1060  11671  -2.93e+08   3:58.3
1080  11891  -2.72e+08   4:02.8
1100  12111  -2.25e+08   4:07.4
1120  12331  -2.16e+08   4:12.1
1140  12551  -1.9e+08    4:16.9
1160  12771  -9.83e+07   4:21.6
1180  12991  -4.53e+07   4:26.0
1200  13211  -2.09e+07   4:30.2
1220  13431  -1.69e+07   4:35.1
1240  13651  -1.29e+07   4:40.1
1260  13871  -1.21e+07   4:44.6
1280  14091  -1.18e+07   4:48.7
1300  14311  -1.18e+07   4:52.7
1320  14531  -1.18e+07   4:56.9
1340  14751  -1.17e+07   5:01.2
1360  14971  -1.17e+07   5:05.4
1380  15191  -1.17e+07   5:09.7
1400  15411  -1.17e+07   5:14.1
1420  15631  -1.17e+07   5:18.3
1440  15851  -1.17e+07   5:22.5
1460  16071  -1.17e+07   5:26.8
1480  16291  -1.17e+07   5:31.3
1500  16511  -1.17e+07   5:36.4
1520  16731  -1.17e+07   5:41.4
1540  16951  -1.17e+07   5:45.8
1560  17171  -1.17e+07   5:50.8
1580  17391  -1.17e+07   5:55.6
1600  17611  -1.17e+07   5:59.9
1620  17831  -1.17e+07   6:04.6
1640  18051  -1.17e+07   6:09.8
1660  18271  -1.17e+07   6:14.3
1680  18491  -1.17e+07   6:18.4
1700  18711  -1.17e+07   6:22.6
1720  18931  -1.17e+07   6:27.4
1740  19151  -1.17e+07   6:32.7
1760  19371  -1.17e+07   6:38.2
1780  19591  -1.17e+07   6:42.9
1800  19811  -1.17e+07   6:47.9
1820  20031  -1.17e+07   6:52.5
1840  20251  -1.17e+07   6:57.2
1860  20471  -1.17e+07   7:01.8
1880  20691  -1.17e+07   7:06.5
1900  20911  -1.17e+07   7:11.1
1920  21131  -1.17e+07   7:15.4
1940  21351  -1.17e+07   7:19.7
1960  21571  -1.17e+07   7:24.1
1980  21791  -1.17e+07   7:28.8
2000  22011  -1.17e+07   7:34.1
2020  22231  -1.17e+07   7:39.2
2040  22451  -1.17e+07   7:43.8
2060  22671  -1.17e+07   7:48.5
2080  22891  -1.17e+07   7:53.5
2100  23111  -1.17e+07   7:58.6
2120  23331  -1.17e+07   8:03.5
2140  23551  -1.17e+07   8:08.5
2160  23771  -1.17e+07   8:13.6
2180  23991  -1.17e+07   8:18.2
2200  24211  -1.17e+07   8:23.2
2220  24431  -1.17e+07   8:27.9
2240  24651  -1.17e+07   8:32.2
2260  24871  -1.17e+07   8:36.6
2280  25091  -1.17e+07   8:42.0
2300  25311  -1.17e+07   8:47.2
2320  25531  -1.17e+07   8:52.0
2340  25751  -1.17e+07   8:56.5
2360  25971  -1.17e+07   9:01.2
2380  26191  -1.17e+07   9:05.6
2400  26411  -1.17e+07   9:10.0
2420  26631  -1.17e+07   9:14.4
2440  26851  -1.17e+07   9:18.8
2460  27071  -1.17e+07   9:23.3
2480  27291  -1.17e+07   9:28.1
2500  27511  -1.17e+07   9:33.6
2520  27731  -1.17e+07   9:38.7
2540  27951  -1.17e+07   9:43.5
2560  28171  -1.17e+07   9:48.5
2580  28391  -1.17e+07   9:53.5
2600  28611  -1.17e+07   9:58.6
2620  28831  -1.17e+07  10:03.7
2640  29051  -1.17e+07  10:08.6
2660  29271  -1.17e+07  10:14.0
2680  29491  -1.17e+07  10:19.0
2700  29711  -1.17e+07  10:23.4
2720  29931  -1.17e+07  10:28.0
2740  30151  -1.17e+07  10:33.2
2760  30371  -1.17e+07  10:37.8
2780  30591  -1.17e+07  10:42.7
2800  30811  -1.17e+07  10:47.2
2820  31031  -1.17e+07  10:51.8
2840  31251  -1.17e+07  10:56.6
2860  31471  -1.17e+07  11:01.4
2880  31691  -1.17e+07  11:05.7
2900  31911  -1.17e+07  11:10.0
2920  32131  -1.17e+07  11:14.4
2940  32351  -1.17e+07  11:19.0
2960  32571  -1.17e+07  11:23.4
2980  32791  -1.17e+07  11:27.9
3000  33011  -1.17e+07  11:33.0
3020  33231  -1.17e+07  11:37.8
3040  33451  -1.17e+07  11:42.5
3060  33671  -1.17e+07  11:46.9
3080  33891  -1.17e+07  11:51.3
3100  34111  -1.17e+07  11:55.8
3120  34331  -1.17e+07  12:00.5
3136  34496  -1.17e+07  12:04.4
