Iter. Eval.  Best      Time m:s
0     11     -7.75e+09   0:00.6
1     22     -7.75e+09   0:00.8
2     33     -7.75e+09   0:01.0
3     44     -7.75e+09   0:01.2
20    231    -3.04e+09   0:04.2
40    451    -2.64e+09   0:07.7
60    671    -2.64e+09   0:11.2
80    891    -2.64e+09   0:14.7
100   1111   -2.64e+09   0:18.2
120   1331   -2.64e+09   0:21.7
140   1551   -2.56e+09   0:25.3
160   1771   -2.46e+09   0:29.1
180   1991   -2.35e+09   0:33.0
200   2211   -2.32e+09   0:37.1
220   2431   -2.25e+09   0:41.9
240   2651   -2.11e+09   0:46.2
260   2871   -2.08e+09   0:49.6
280   3091   -2.03e+09   0:53.0
300   3311   -2.01e+09   0:56.5
320   3531   -1.96e+09   1:00.1
340   3751   -1.9e+09    1:03.7
360   3971   -1.72e+09   1:07.1
380   4191   -1.7e+09    1:10.7
400   4411   -1.69e+09   1:14.4
420   4631   -1.67e+09   1:18.1
440   4851   -1.6e+09    1:21.9
460   5071   -1.46e+09   1:25.8
480   5291   -1.35e+09   1:30.0
500   5511   -1.26e+09   1:34.8
520   5731   -1.22e+09   1:39.5
540   5951   -1.21e+09   1:43.3
560   6171   -1.21e+09   1:47.1
580   6391   -1.21e+09   1:50.9
600   6611   -1.21e+09   1:54.7
620   6831   -1.21e+09   1:58.4
640   7051   -1.21e+09   2:02.1
660   7271   -1.2e+09    2:05.9
680   7491   -1.2e+09    2:09.7
700   7711   -1.2e+09    2:14.1
720   7931   -1.19e+09   2:18.8
740   8151   -1.17e+09   2:23.4
760   8371   -1.16e+09   2:27.7
780   8591   -1.15e+09   2:31.9
800   8811   -1.14e+09   2:35.6
820   9031   -1.14e+09   2:39.3
840   9251   -1.14e+09   2:43.0
860   9471   -1.14e+09   2:46.6
880   9691   -1.14e+09   2:50.3
900   9911   -1.14e+09   2:53.9
920   10131  -1.14e+09   2:57.6
940   10351  -1.14e+09   3:01.2
960   10571  -1.14e+09   3:05.0
980   10791  -1.14e+09   3:09.0
1000  11011  -1.14e+09   3:13.8
1020  11231  -1.14e+09   3:18.3
1040  11451  -1.14e+09   3:21.9
1060  11671  -1.14e+09   3:25.6
1080  11891  -1.14e+09   3:29.3
1100  12111  -1.14e+09   3:32.9
1120  12331  -1.14e+09   3:36.6
1140  12551  -1.14e+09   3:40.2
1160  12771  -1.14e+09   3:43.8
1180  12991  -1.14e+09   3:47.7
1200  13211  -1.14e+09   3:51.6
1220  13431  -1.14e+09   3:55.8
1240  13651  -1.14e+09   4:00.1
1260  13871  -1.14e+09   4:04.3
1280  14091  -1.14e+09   4:08.8
1300  14311  -1.14e+09   4:12.9
1320  14531  -1.14e+09   4:17.0
1340  14751  -1.14e+09   4:20.7
1360  14971  -1.14e+09   4:24.7
1380  15191  -1.14e+09   4:28.5
1400  15411  -1.14e+09   4:32.4
1420  15631  -1.14e+09   4:36.0
1440  15851  -1.14e+09   4:39.9
1460  16071  -1.14e+09   4:43.8
1480  16291  -1.14e+09   4:47.5
1500  16511  -1.14e+09   4:52.5
1502  16522  -1.14e+09   4:52.7
