Iter. Eval.  Best      Time m:s
0     11     -7.06e+09   0:00.6
1     22     -6.8e+09    0:00.9
2     33     -6.45e+09   0:01.1
3     44     -5.99e+09   0:01.3
20    231    -3.35e+09   0:04.5
40    451    -3.2e+09    0:08.3
60    671    -3.19e+09   0:12.3
80    891    -3.19e+09   0:16.4
100   1111   -3.17e+09   0:21.0
120   1331   -2.95e+09   0:25.8
140   1551   -2.86e+09   0:29.9
160   1771   -2.79e+09   0:33.8
180   1991   -2.78e+09   0:37.7
200   2211   -2.78e+09   0:41.4
220   2431   -2.78e+09   0:45.3
240   2651   -2.78e+09   0:49.6
260   2871   -2.78e+09   0:53.5
280   3091   -2.78e+09   0:57.5
300   3311   -2.77e+09   1:01.3
320   3531   -2.76e+09   1:05.2
340   3751   -2.75e+09   1:09.3
360   3971   -2.75e+09   1:13.4
380   4191   -2.74e+09   1:17.5
400   4411   -2.74e+09   1:22.0
420   4631   -2.73e+09   1:26.3
440   4851   -2.73e+09   1:30.5
460   5071   -2.72e+09   1:34.5
480   5291   -2.72e+09   1:38.8
500   5511   -2.72e+09   1:43.5
520   5731   -2.71e+09   1:48.8
540   5951   -2.71e+09   1:53.4
560   6171   -2.71e+09   1:57.4
580   6391   -2.71e+09   2:01.4
600   6611   -2.7e+09    2:05.5
620   6831   -2.7e+09    2:09.5
640   7051   -2.7e+09    2:13.8
660   7271   -2.7e+09    2:18.6
680   7491   -2.7e+09    2:22.7
700   7711   -2.69e+09   2:26.8
720   7931   -2.69e+09   2:30.8
740   8151   -2.69e+09   2:35.1
760   8371   -2.69e+09   2:39.2
780   8591   -2.69e+09   2:43.7
800   8811   -2.69e+09   2:47.7
820   9031   -2.69e+09   2:51.5
840   9251   -2.69e+09   2:55.5
860   9471   -2.69e+09   2:59.5
880   9691   -2.68e+09   3:03.7
900   9911   -2.68e+09   3:07.8
920   10131  -2.68e+09   3:12.1
940   10351  -2.68e+09   3:16.5
960   10571  -2.68e+09   3:20.5
980   10791  -2.68e+09   3:25.4
1000  11011  -2.68e+09   3:29.8
1020  11231  -2.67e+09   3:34.9
1040  11451  -2.67e+09   3:39.2
1060  11671  -2.67e+09   3:43.8
1080  11891  -2.67e+09   3:48.1
1100  12111  -2.67e+09   3:52.4
1120  12331  -2.67e+09   3:56.4
1140  12551  -2.67e+09   4:00.5
1160  12771  -2.67e+09   4:05.0
1180  12991  -2.67e+09   4:09.1
1200  13211  -2.67e+09   4:13.7
1220  13431  -2.67e+09   4:18.2
1240  13651  -2.66e+09   4:22.3
1260  13871  -2.66e+09   4:26.4
1280  14091  -2.66e+09   4:30.7
1300  14311  -2.66e+09   4:34.8
1320  14531  -2.66e+09   4:39.1
1340  14751  -2.66e+09   4:43.2
1360  14971  -2.66e+09   4:47.1
1380  15191  -2.66e+09   4:51.1
1400  15411  -2.66e+09   4:55.3
1420  15631  -2.66e+09   4:59.0
