Iter. Eval.  Best      Time m:s
0     11     -1.71e+08   0:00.7
1     22     -1.43e+08   0:00.9
2     33     -1.42e+08   0:01.1
3     44     -1e+08      0:01.3
20    231    -2.62e+07   0:04.3
40    451    -1.89e+07   0:08.3
60    671    -1.42e+07   0:12.7
80    891    -1.33e+07   0:17.3
100   1111   -1.33e+07   0:22.3
120   1331   -1.31e+07   0:28.2
140   1551   -1.28e+07   0:33.7
160   1771   -1.04e+07   0:39.6
180   1991   -9200799    0:45.5
200   2211   -8958396    0:51.3
220   2431   -8894677    0:57.2
240   2651   -8656881    1:03.0
260   2871   -8488661    1:09.0
280   3091   -8377061    1:15.0
300   3311   -8094158    1:20.9
320   3531   -7799387    1:27.1
340   3751   -7747954    1:33.6
360   3971   -7697270    1:39.8
380   4191   -7643982    1:45.7
400   4411   -7581811    1:51.6
420   4631   -7527155    1:57.6
440   4851   -7502099    2:04.2
460   5071   -7473524    2:10.2
480   5291   -7426094    2:16.3
500   5511   -7397537    2:22.9
520   5731   -7395191    2:29.4
540   5951   -7394053    2:35.6
560   6171   -7390555    2:41.5
580   6391   -7379822    2:48.6
600   6611   -7373119    2:54.5
620   6831   -7370710    3:00.3
640   7051   -7369105    3:06.6
660   7271   -7365793    3:12.3
680   7491   -7357022    3:17.9
700   7711   -7352818    3:23.4
720   7931   -7352095    3:29.2
740   8151   -7352030    3:35.0
760   8371   -7352001    3:40.8
780   8591   -7352000    3:46.5
800   8811   -7351999    3:52.9
820   9031   -7351999    3:59.0
840   9251   -7351999    4:04.7
860   9471   -7351999    4:10.3
880   9691   -7351999    4:15.2
900   9911   -7351999    4:20.3
920   10131  -7351999    4:25.6
940   10351  -7351999    4:31.3
960   10571  -7351999    4:36.5
980   10791  -7351999    4:42.0
1000  11011  -7351999    4:48.0
1020  11231  -7351999    4:53.7
1040  11451  -7351999    4:59.2
1060  11671  -7351999    5:04.4
1080  11891  -7351999    5:10.2
1100  12111  -7351999    5:15.9
1120  12331  -7351999    5:21.0
1140  12551  -7351998    5:26.3
1160  12771  -7351998    5:31.7
1180  12991  -7351998    5:37.0
1200  13211  -7351998    5:42.2
1220  13431  -7351998    5:47.4
1240  13651  -7351998    5:52.9
1260  13871  -7351998    5:58.9
1280  14091  -7351998    6:04.0
1300  14311  -7351998    6:09.7
1320  14531  -7351998    6:15.1
1335  14685  -7351998    6:18.9
