Iter. Eval.  Best      Time m:s
0     11     -7.75e+09   0:00.6
1     22     -7.75e+09   0:01.0
2     33     -7.75e+09   0:01.2
3     44     -7.75e+09   0:01.5
20    231    -7.75e+09   0:05.5
40    451    -7.1e+09    0:10.3
60    671    -7.01e+09   0:15.6
80    891    -6.82e+09   0:20.8
100   1111   -6.59e+09   0:26.0
120   1331   -6.48e+09   0:31.6
140   1551   -6.44e+09   0:37.8
160   1771   -6.23e+09   0:43.2
180   1991   -5.86e+09   0:48.3
200   2211   -5.72e+09   0:53.1
220   2431   -5.42e+09   0:58.1
240   2651   -4.99e+09   1:03.3
260   2871   -4.15e+09   1:08.4
280   3091   -2.2e+09    1:13.5
300   3311   -1.76e+09   1:18.5
320   3531   -1.58e+09   1:23.8
340   3751   -1.57e+09   1:29.5
360   3971   -1.56e+09   1:34.8
380   4191   -1.55e+09   1:40.1
400   4411   -1.55e+09   1:45.5
420   4631   -1.55e+09   1:50.7
440   4851   -1.54e+09   1:55.8
460   5071   -1.54e+09   2:00.8
480   5291   -1.54e+09   2:06.1
500   5511   -1.54e+09   2:11.8
520   5731   -1.52e+09   2:18.1
540   5951   -1.5e+09    2:23.3
560   6171   -1.38e+09   2:28.1
580   6391   -1.3e+09    2:33.5
600   6611   -1.26e+09   2:38.8
620   6831   -1.22e+09   2:43.8
640   7051   -1.17e+09   2:48.9
660   7271   -1.14e+09   2:54.0
680   7491   -1.13e+09   2:59.0
700   7711   -1.12e+09   3:04.2
720   7931   -1.12e+09   3:09.1
740   8151   -1.12e+09   3:13.9
760   8371   -1.1e+09    3:18.9
780   8591   -1.02e+09   3:23.9
800   8811   -8.18e+08   3:28.8
820   9031   -7.63e+08   3:33.9
840   9251   -7.56e+08   3:39.2
860   9471   -7.26e+08   3:44.9
880   9691   -6.87e+08   3:50.6
900   9911   -6.53e+08   3:56.3
920   10131  -6e+08      4:01.7
940   10351  -4.75e+08   4:07.2
960   10571  -3.11e+08   4:13.6
980   10791  -1.84e+08   4:19.1
1000  11011  -1.32e+08   4:25.7
1020  11231  -1.15e+08   4:32.5
1040  11451  -1.02e+08   4:38.9
1060  11671  -8.89e+07   4:44.4
1080  11891  -7.59e+07   4:49.7
1100  12111  -6.83e+07   4:54.9
1120  12331  -6.39e+07   5:00.3
1140  12551  -5.57e+07   5:06.2
1160  12771  -4.52e+07   5:11.7
1180  12991  -3.76e+07   5:17.1
1200  13211  -3.35e+07   5:22.7
1220  13431  -2.96e+07   5:28.1
1240  13651  -2.6e+07    5:33.9
1260  13871  -2.38e+07   5:39.7
1280  14091  -2.3e+07    5:45.4
1300  14311  -2.23e+07   5:51.1
1320  14531  -2.16e+07   5:56.7
1340  14751  -2e+07      6:02.7
1360  14971  -1.84e+07   6:09.3
1380  15191  -1.58e+07   6:15.6
1400  15411  -1.37e+07   6:22.8
1420  15631  -1.19e+07   6:29.3
1440  15851  -1.02e+07   6:36.1
1460  16071  -9560706    6:42.7
1480  16291  -9165494    6:48.5
1500  16511  -8713711    6:55.1
1520  16731  -8458986    7:01.5
1540  16951  -8102123    7:07.5
1560  17171  -7847266    7:13.3
1580  17391  -7712792    7:19.3
1600  17611  -7669493    7:25.3
1620  17831  -7662835    7:31.8
1640  18051  -7661941    7:37.7
1660  18271  -7661263    7:43.6
1680  18491  -7660532    7:49.4
1700  18711  -7659057    7:55.2
1720  18931  -7650675    8:01.0
1740  19151  -7614460    8:07.0
1760  19371  -7571793    8:12.8
1780  19591  -7537110    8:18.4
1800  19811  -7523520    8:24.1
1820  20031  -7514386    8:29.7
1840  20251  -7500797    8:36.3
1860  20471  -7492132    8:42.5
1880  20691  -7483876    8:48.4
1900  20911  -7471967    8:54.5
1920  21131  -7457786    9:00.6
1940  21351  -7444430    9:06.2
1960  21571  -7435121    9:12.0
1980  21791  -7426456    9:17.7
2000  22011  -7415998    9:23.8
2020  22231  -7407713    9:29.9
2040  22451  -7399453    9:35.9
2060  22671  -7393536    9:41.4
2080  22891  -7384504    9:47.4
2100  23111  -7375063    9:53.2
2120  23331  -7368183    9:58.6
2140  23551  -7364307   10:04.4
2160  23771  -7361709   10:10.5
2180  23991  -7357589   10:15.9
2200  24211  -7355894   10:21.5
2220  24431  -7354456   10:26.7
2240  24651  -7353716   10:32.1
2260  24871  -7353510   10:37.3
2280  25091  -7353470   10:42.5
2300  25311  -7353464   10:48.1
2320  25531  -7353457   10:53.8
2340  25751  -7353454   11:00.1
2360  25971  -7353454   11:05.4
2380  26191  -7353454   11:11.1
2400  26411  -7353453   11:16.6
2420  26631  -7353453   11:21.7
2440  26851  -7353452   11:27.1
2460  27071  -7353452   11:32.5
2480  27291  -7353452   11:37.8
2500  27511  -7353452   11:43.9
2520  27731  -7353452   11:49.9
2540  27951  -7353452   11:55.6
2560  28171  -7353451   12:00.9
2580  28391  -7353451   12:06.7
2600  28611  -7353451   12:12.2
2620  28831  -7353451   12:17.3
2640  29051  -7353451   12:22.5
2660  29271  -7353451   12:27.6
2680  29491  -7353450   12:32.9
2700  29711  -7353450   12:38.3
2720  29931  -7353450   12:43.6
2740  30151  -7353450   12:49.0
2760  30371  -7353450   12:55.0
2780  30591  -7353450   13:01.1
2800  30811  -7353450   13:07.2
2820  31031  -7353450   13:13.1
2840  31251  -7353450   13:18.9
2860  31471  -7353450   13:24.5
2880  31691  -7353450   13:30.4
2900  31911  -7353450   13:36.1
2920  32131  -7353450   13:41.5
2940  32351  -7353450   13:47.3
2960  32571  -7353450   13:53.7
2980  32791  -7353450   13:59.8
3000  33011  -7353450   14:06.4
3020  33231  -7353450   14:12.9
3040  33451  -7353450   14:19.5
3060  33671  -7353450   14:25.1
3080  33891  -7353450   14:30.5
3100  34111  -7353450   14:36.2
3120  34331  -7353450   14:41.6
3140  34551  -7353450   14:47.2
3160  34771  -7353450   14:52.8
3180  34991  -7353450   14:58.3
3200  35211  -7353450   15:04.1
3220  35431  -7353450   15:09.8
3240  35651  -7353450   15:16.0
3260  35871  -7353450   15:22.3
3280  36091  -7353450   15:28.1
3300  36311  -7353450   15:33.6
3309  36399  -7353450   15:35.8
