Iter. Eval.  Best      Time m:s
0     12     -5.04e+11   0:00.7
1     24     -4.6e+11    0:01.1
2     36     -3.92e+11   0:01.4
3     48     -3.5e+11    0:01.7
20    252    -1.19e+10   0:06.1
40    492    -9.96e+09   0:11.2
60    732    -8.18e+09   0:15.8
80    972    -6.06e+09   0:20.5
100   1212   -4.52e+09   0:25.6
120   1452   -3.6e+09    0:30.4
140   1692   -3.54e+09   0:35.3
160   1932   -3.45e+09   0:40.1
180   2172   -3.39e+09   0:44.8
200   2412   -3.38e+09   0:49.5
220   2652   -3.37e+09   0:54.2
240   2892   -3.37e+09   0:59.0
260   3132   -3.37e+09   1:03.7
280   3372   -3.37e+09   1:09.5
300   3612   -3.37e+09   1:16.3
320   3852   -3.37e+09   1:21.5
340   4092   -3.37e+09   1:26.8
360   4332   -3.36e+09   1:31.4
380   4572   -3.36e+09   1:36.5
400   4812   -3.36e+09   1:41.2
420   5052   -3.36e+09   1:45.9
440   5292   -3.36e+09   1:50.5
460   5532   -3.36e+09   1:55.1
480   5772   -3.36e+09   2:00.4
500   6012   -3.36e+09   2:06.2
520   6252   -3.36e+09   2:12.3
540   6492   -3.35e+09   2:17.1
560   6732   -3.35e+09   2:21.8
580   6972   -3.35e+09   2:26.6
600   7212   -3.35e+09   2:31.4
620   7452   -3.35e+09   2:36.0
640   7692   -3.33e+09   2:40.8
660   7932   -3.11e+09   2:45.4
680   8172   -2.71e+09   2:50.0
700   8412   -2.64e+09   2:54.8
720   8652   -2.38e+09   2:59.6
740   8892   -2.16e+09   3:04.2
760   9132   -2.03e+09   3:08.9
780   9372   -1.9e+09    3:14.6
800   9612   -1.81e+09   3:20.2
820   9852   -1.73e+09   3:24.9
840   10092  -1.63e+09   3:29.6
860   10332  -1.32e+09   3:34.7
880   10572  -1.2e+09    3:40.0
900   10812  -1.02e+09   3:45.1
920   11052  -9.67e+08   3:50.1
940   11292  -9.45e+08   3:55.2
960   11532  -9.34e+08   4:00.0
980   11772  -9.02e+08   4:05.4
1000  12012  -8.31e+08   4:11.8
1020  12252  -6.65e+08   4:18.8
1040  12492  -5.24e+08   4:24.4
1060  12732  -2.52e+08   4:29.5
1080  12972  -1.96e+08   4:34.4
1100  13212  -1.6e+08    4:39.0
1120  13452  -1.03e+08   4:43.6
1140  13692  -9.64e+07   4:48.7
1160  13932  -8.94e+07   4:53.5
1180  14172  -8.59e+07   4:58.3
1200  14412  -8.32e+07   5:03.2
1220  14652  -8.15e+07   5:07.9
1240  14892  -8.06e+07   5:12.6
1260  15132  -8.02e+07   5:18.3
1280  15372  -8.01e+07   5:24.2
1300  15612  -7.98e+07   5:29.7
1320  15852  -7.64e+07   5:34.4
1340  16092  -7.55e+07   5:39.4
1360  16332  -7.48e+07   5:44.3
1380  16572  -7.41e+07   5:49.1
1400  16812  -7.38e+07   5:53.9
1420  17052  -7.37e+07   5:59.4
1440  17292  -7.33e+07   6:04.5
1460  17532  -7.28e+07   6:10.1
1480  17772  -7.22e+07   6:15.5
1500  18012  -7.14e+07   6:21.7
1520  18252  -7.12e+07   6:28.2
1540  18492  -7.11e+07   6:33.3
1560  18732  -7.11e+07   6:38.3
1580  18972  -7.11e+07   6:43.2
1600  19212  -7.1e+07    6:48.3
1620  19452  -7.1e+07    6:53.2
1640  19692  -7.09e+07   6:58.6
1660  19932  -7.09e+07   7:03.6
1680  20172  -7.09e+07   7:09.0
1700  20412  -7.08e+07   7:14.1
1720  20652  -7.08e+07   7:18.9
1740  20892  -7.08e+07   7:23.7
1760  21132  -7.08e+07   7:28.6
1780  21372  -7.08e+07   7:34.3
1800  21612  -7.08e+07   7:40.7
1820  21852  -7.08e+07   7:46.3
1840  22092  -7.08e+07   7:51.7
1860  22332  -7.08e+07   7:57.1
1880  22572  -7.08e+07   8:01.9
1900  22812  -7.08e+07   8:07.0
1920  23052  -7.08e+07   8:11.6
1940  23292  -7.08e+07   8:16.6
1960  23532  -7.08e+07   8:22.1
1980  23772  -7.08e+07   8:27.7
2000  24012  -7.08e+07   8:33.7
2020  24252  -7.08e+07   8:40.0
2040  24492  -7.08e+07   8:45.4
2060  24732  -7.07e+07   8:50.8
2080  24972  -7.07e+07   8:56.1
2100  25212  -7.05e+07   9:00.9
2120  25452  -7.01e+07   9:05.6
2140  25692  -6.85e+07   9:10.3
2160  25932  -6.76e+07   9:15.0
2180  26172  -6.72e+07   9:19.8
2200  26412  -6.69e+07   9:25.1
2220  26652  -6.68e+07   9:29.8
2240  26892  -6.64e+07   9:35.4
2260  27132  -6.58e+07   9:42.0
2280  27372  -6.42e+07   9:48.9
2300  27612  -6.23e+07   9:54.8
2320  27852  -6.19e+07  10:00.5
2340  28092  -6.18e+07  10:06.1
2360  28332  -6.18e+07  10:11.7
2380  28572  -6.17e+07  10:17.0
2400  28812  -6.17e+07  10:22.4
2420  29052  -6.17e+07  10:27.8
2440  29292  -6.17e+07  10:33.0
2460  29532  -6.17e+07  10:38.0
2480  29772  -6.17e+07  10:43.2
2500  30012  -6.17e+07  10:49.3
2520  30252  -6.17e+07  10:55.5
2540  30492  -6.17e+07  11:00.8
2560  30732  -6.16e+07  11:05.5
2580  30972  -6.16e+07  11:10.3
2600  31212  -6.15e+07  11:15.9
2620  31452  -6.13e+07  11:20.9
2640  31692  -6.09e+07  11:26.0
2660  31932  -6.04e+07  11:31.1
2680  32172  -5.97e+07  11:36.4
2700  32412  -5.91e+07  11:41.2
2720  32652  -5.88e+07  11:46.7
2740  32892  -5.86e+07  11:52.4
2760  33132  -5.85e+07  11:58.4
2780  33372  -5.83e+07  12:03.3
2800  33612  -5.82e+07  12:08.9
2820  33852  -5.8e+07   12:13.8
2840  34092  -5.74e+07  12:19.1
2860  34332  -5.62e+07  12:23.9
2880  34572  -5.57e+07  12:28.5
2900  34812  -5.53e+07  12:33.5
2920  35052  -5.5e+07   12:39.2
2940  35292  -5.47e+07  12:44.1
2960  35532  -5.44e+07  12:48.9
2980  35772  -5.44e+07  12:54.2
3000  36012  -5.44e+07  13:00.0
3020  36252  -5.43e+07  13:06.2
3040  36492  -5.43e+07  13:11.6
3060  36732  -5.43e+07  13:17.0
3080  36972  -5.42e+07  13:22.3
3100  37212  -5.39e+07  13:27.4
3120  37452  -5.38e+07  13:32.8
3140  37692  -5.37e+07  13:37.9
3160  37932  -5.37e+07  13:43.0
3180  38172  -5.37e+07  13:48.3
3200  38412  -5.36e+07  13:53.9
