Iter. Eval.  Best      Time m:s
0     11     -2.14e+13   0:00.6
1     22     -1.95e+13   0:00.8
2     33     -1.67e+13   0:01.2
3     44     -1.13e+13   0:01.5
20    231    -8.82e+09   0:05.4
40    451    -3.4e+09    0:10.1
60    671    -3.2e+09    0:14.8
80    891    -2.96e+09   0:20.0
100   1111   -2.94e+09   0:24.4
120   1331   -2.92e+09   0:29.2
140   1551   -2.85e+09   0:33.9
160   1771   -2.83e+09   0:38.4
180   1991   -2.82e+09   0:42.6
200   2211   -2.81e+09   0:46.8
220   2431   -2.81e+09   0:51.3
240   2651   -2.8e+09    0:55.6
260   2871   -2.72e+09   1:00.6
280   3091   -2.53e+09   1:05.1
300   3311   -2.5e+09    1:09.8
320   3531   -2.46e+09   1:14.0
340   3751   -2.23e+09   1:18.1
360   3971   -2.11e+09   1:22.2
380   4191   -1.74e+09   1:26.3
400   4411   -1.64e+09   1:30.5
420   4631   -1.59e+09   1:34.7
440   4851   -1.52e+09   1:39.1
460   5071   -1.5e+09    1:43.7
480   5291   -1.41e+09   1:48.6
500   5511   -1.25e+09   1:53.7
520   5731   -1.14e+09   1:59.1
540   5951   -9.29e+08   2:03.5
560   6171   -8.31e+08   2:08.0
580   6391   -7.9e+08    2:12.3
600   6611   -6.67e+08   2:17.2
620   6831   -3.16e+08   2:22.1
640   7051   -1.4e+08    2:27.0
660   7271   -8.89e+07   2:32.2
680   7491   -8.19e+07   2:37.2
700   7711   -6.47e+07   2:41.7
720   7931   -4.89e+07   2:46.1
740   8151   -3.75e+07   2:50.6
760   8371   -3.56e+07   2:55.4
780   8591   -3.31e+07   3:00.2
800   8811   -3.12e+07   3:04.9
820   9031   -2.78e+07   3:09.8
840   9251   -2.25e+07   3:14.7
860   9471   -1.81e+07   3:19.4
880   9691   -1.67e+07   3:24.1
900   9911   -1.41e+07   3:28.8
920   10131  -1.27e+07   3:33.5
940   10351  -1.24e+07   3:38.7
960   10571  -1.21e+07   3:43.7
980   10791  -1.18e+07   3:48.5
1000  11011  -1.18e+07   3:53.9
1020  11231  -1.17e+07   3:59.6
1040  11451  -1.17e+07   4:04.3
1060  11671  -1.17e+07   4:09.1
1080  11891  -1.17e+07   4:14.4
1100  12111  -1.17e+07   4:19.2
1120  12331  -1.17e+07   4:24.2
1140  12551  -1.17e+07   4:29.2
1160  12771  -1.17e+07   4:34.5
1180  12991  -1.17e+07   4:40.1
1200  13211  -1.17e+07   4:44.9
1220  13431  -1.17e+07   4:49.8
1240  13651  -1.17e+07   4:54.6
1260  13871  -1.17e+07   4:59.3
1280  14091  -1.17e+07   5:03.6
1300  14311  -1.17e+07   5:08.1
1320  14531  -1.17e+07   5:13.1
1340  14751  -1.17e+07   5:17.7
1360  14971  -1.17e+07   5:22.6
1380  15191  -1.17e+07   5:27.2
1400  15411  -1.17e+07   5:31.6
1420  15631  -1.17e+07   5:36.0
1440  15851  -1.17e+07   5:40.4
1460  16071  -1.17e+07   5:45.0
1480  16291  -1.17e+07   5:49.4
1500  16511  -1.17e+07   5:54.0
1520  16731  -1.17e+07   5:59.2
1540  16951  -1.17e+07   6:03.5
1560  17171  -1.17e+07   6:08.3
1580  17391  -1.17e+07   6:12.6
1600  17611  -1.17e+07   6:16.7
1620  17831  -1.17e+07   6:21.2
1640  18051  -1.17e+07   6:25.4
1660  18271  -1.17e+07   6:29.7
1680  18491  -1.17e+07   6:34.0
1700  18711  -1.17e+07   6:38.3
1720  18931  -1.17e+07   6:42.9
1721  18931  -1.17e+07   6:42.9
