Iter. Eval.  Best      Time m:s
0     12     -1.06e+10   0:00.7
1     24     -1.06e+10   0:01.1
2     36     -1.06e+10   0:01.5
3     48     -1.06e+10   0:01.8
20    252    -1.06e+10   0:06.7
40    492    -1.06e+10   0:11.9
60    732    -1.06e+10   0:16.9
80    972    -1.01e+10   0:21.9
100   1212   -9.91e+09   0:27.0
120   1452   -9.84e+09   0:31.9
140   1692   -9.69e+09   0:36.9
160   1932   -9.62e+09   0:41.8
180   2172   -9.5e+09    0:46.9
200   2412   -9.35e+09   0:51.8
220   2652   -9.22e+09   0:56.9
240   2892   -9.16e+09   1:01.8
260   3132   -9.13e+09   1:06.8
280   3372   -9.06e+09   1:12.1
300   3612   -8.99e+09   1:17.4
320   3852   -8.91e+09   1:22.6
340   4092   -8.84e+09   1:27.7
360   4332   -8.78e+09   1:32.8
380   4572   -8.71e+09   1:38.0
400   4812   -8.63e+09   1:43.4
420   5052   -8.48e+09   1:48.9
440   5292   -8.39e+09   1:54.1
460   5532   -8.31e+09   1:59.0
480   5772   -8.23e+09   2:04.4
500   6012   -8.17e+09   2:10.0
520   6252   -8.01e+09   2:17.2
540   6492   -7.69e+09   2:22.6
560   6732   -6.82e+09   2:27.4
580   6972   -6.05e+09   2:32.2
600   7212   -5.17e+09   2:37.1
620   7452   -4.68e+09   2:42.4
640   7692   -4.3e+09    2:47.7
660   7932   -4.2e+09    2:52.4
680   8172   -4.11e+09   2:57.2
700   8412   -4.05e+09   3:02.2
720   8652   -3.99e+09   3:07.3
740   8892   -3.96e+09   3:12.0
760   9132   -3.93e+09   3:16.7
780   9372   -3.89e+09   3:21.4
800   9612   -3.87e+09   3:26.3
820   9852   -3.86e+09   3:31.2
840   10092  -3.84e+09   3:35.5
860   10332  -3.84e+09   3:40.1
880   10572  -3.84e+09   3:44.9
900   10812  -3.84e+09   3:49.3
920   11052  -3.83e+09   3:53.7
940   11292  -3.83e+09   3:58.5
960   11532  -3.83e+09   4:03.2
980   11772  -3.83e+09   4:08.2
1000  12012  -3.83e+09   4:14.0
1020  12252  -3.83e+09   4:19.5
1040  12492  -3.83e+09   4:25.1
1060  12732  -3.83e+09   4:30.7
1080  12972  -3.83e+09   4:35.5
1100  13212  -3.83e+09   4:40.2
1120  13452  -3.83e+09   4:44.9
1140  13692  -3.74e+09   4:49.8
1160  13932  -3.7e+09    4:55.0
1180  14172  -3.65e+09   5:00.0
1200  14412  -3.62e+09   5:05.3
1220  14652  -3.61e+09   5:10.6
1240  14892  -3.59e+09   5:15.7
1260  15132  -3.59e+09   5:21.3
1280  15372  -3.57e+09   5:26.8
1300  15612  -3.57e+09   5:32.3
1320  15852  -3.55e+09   5:37.7
1340  16092  -3.4e+09    5:43.0
1360  16332  -2.5e+09    5:47.9
1380  16572  -2.45e+09   5:53.0
1400  16812  -2.42e+09   5:57.5
1420  17052  -2.42e+09   6:02.4
1440  17292  -2.41e+09   6:07.2
1460  17532  -2.4e+09    6:12.2
1480  17772  -2.38e+09   6:17.7
1500  18012  -2.27e+09   6:23.1
1520  18252  -2.11e+09   6:29.8
1540  18492  -1.98e+09   6:36.2
1560  18732  -1.36e+09   6:41.4
1580  18972  -9.99e+08   6:46.0
1600  19212  -8.68e+08   6:50.6
1620  19452  -7.85e+08   6:55.4
1640  19692  -7.07e+08   7:00.6
1660  19932  -5.68e+08   7:05.4
1680  20172  -3.72e+08   7:10.2
1700  20412  -3.26e+08   7:14.8
1720  20652  -2.94e+08   7:19.5
1740  20892  -2.62e+08   7:24.1
1760  21132  -2.2e+08    7:28.8
1780  21372  -1.65e+08   7:33.7
1800  21612  -1.15e+08   7:39.4
1820  21852  -9.2e+07    7:44.1
1840  22092  -7.74e+07   7:49.1
1860  22332  -6.25e+07   7:53.7
1880  22572  -5.83e+07   7:58.4
1900  22812  -5.79e+07   8:03.7
1920  23052  -5.78e+07   8:08.4
1940  23292  -5.77e+07   8:13.0
1960  23532  -5.76e+07   8:17.6
1980  23772  -5.75e+07   8:23.6
2000  24012  -5.73e+07   8:29.3
2020  24252  -5.67e+07   8:35.4
2040  24492  -5.6e+07    8:41.9
2060  24732  -5.53e+07   8:48.2
2080  24972  -5.47e+07   8:53.8
2100  25212  -5.45e+07   8:59.2
2120  25452  -5.44e+07   9:04.6
2140  25692  -5.44e+07   9:10.2
2160  25932  -5.44e+07   9:15.5
2180  26172  -5.44e+07   9:20.8
2200  26412  -5.44e+07   9:26.3
2220  26652  -5.44e+07   9:31.9
2240  26892  -5.44e+07   9:37.5
2260  27132  -5.44e+07   9:43.1
2280  27372  -5.44e+07   9:48.8
2300  27612  -5.44e+07   9:54.3
2320  27852  -5.44e+07   9:59.4
2340  28092  -5.44e+07  10:04.9
2360  28332  -5.44e+07  10:10.5
2380  28572  -5.44e+07  10:16.4
2400  28812  -5.43e+07  10:22.2
2420  29052  -5.43e+07  10:27.5
2440  29292  -5.43e+07  10:33.4
2460  29532  -5.43e+07  10:39.6
2480  29772  -5.43e+07  10:46.0
2500  30012  -5.43e+07  10:52.1
2520  30252  -5.43e+07  10:58.5
2540  30492  -5.43e+07  11:04.4
2560  30732  -5.43e+07  11:09.6
2580  30972  -5.43e+07  11:15.2
2600  31212  -5.43e+07  11:20.6
2620  31452  -5.43e+07  11:26.2
2640  31692  -5.43e+07  11:31.2
2660  31932  -5.43e+07  11:36.1
2680  32172  -5.43e+07  11:41.4
2700  32412  -5.43e+07  11:46.1
2720  32652  -5.43e+07  11:51.6
2740  32892  -5.43e+07  11:56.5
2760  33132  -5.43e+07  12:02.1
2780  33372  -5.43e+07  12:07.2
2800  33612  -5.43e+07  12:12.1
2820  33852  -5.43e+07  12:17.3
2840  34092  -5.43e+07  12:22.6
2860  34332  -5.43e+07  12:28.0
2880  34572  -5.43e+07  12:32.5
2900  34812  -5.43e+07  12:37.4
2920  35052  -5.43e+07  12:43.1
2940  35292  -5.43e+07  12:49.2
2960  35532  -5.43e+07  12:54.7
2980  35772  -5.43e+07  13:01.2
3000  36012  -5.43e+07  13:06.9
3020  36252  -5.43e+07  13:13.5
3040  36492  -5.43e+07  13:19.6
3060  36732  -5.43e+07  13:24.8
3080  36972  -5.43e+07  13:30.0
3083  36996  -5.43e+07  13:30.5
