Iter. Eval.  Best      Time m:s
0     11     -2.39e+12   0:00.6
1     22     -2.35e+12   0:00.8
2     33     -2.29e+12   0:01.0
3     44     -2.21e+12   0:01.2
20    231    -1.15e+11   0:04.5
40    451    -4.58e+09   0:08.1
60    671    -3.67e+09   0:12.0
80    891    -2.16e+09   0:15.5
100   1111   -1.79e+09   0:18.8
120   1331   -1.6e+09    0:22.3
140   1551   -1.3e+09    0:25.8
160   1771   -9.19e+08   0:29.4
180   1991   -8.79e+08   0:33.4
200   2211   -8.51e+08   0:37.6
220   2431   -7.92e+08   0:41.6
240   2651   -7.29e+08   0:45.2
260   2871   -6.79e+08   0:48.7
280   3091   -6.47e+08   0:52.1
300   3311   -6.34e+08   0:55.6
320   3531   -6.25e+08   0:59.0
340   3751   -6.04e+08   1:02.6
360   3971   -5.54e+08   1:06.0
380   4191   -4.77e+08   1:09.5
400   4411   -3.79e+08   1:13.8
420   4631   -3e+08      1:17.6
440   4851   -1.62e+08   1:21.6
460   5071   -1.15e+08   1:25.1
480   5291   -9.71e+07   1:28.6
500   5511   -9.35e+07   1:32.8
520   5731   -8.71e+07   1:37.0
540   5951   -8.32e+07   1:40.6
560   6171   -8.12e+07   1:44.1
580   6391   -7.95e+07   1:48.4
600   6611   -7.54e+07   1:52.4
620   6831   -6.94e+07   1:55.9
640   7051   -6.66e+07   1:59.6
660   7271   -5.61e+07   2:03.4
680   7491   -4.36e+07   2:07.7
700   7711   -3.44e+07   2:11.2
720   7931   -2.5e+07    2:14.8
740   8151   -1.93e+07   2:18.3
760   8371   -1.5e+07    2:21.8
780   8591   -1.26e+07   2:25.3
800   8811   -1.2e+07    2:29.0
820   9031   -1.18e+07   2:32.7
840   9251   -1.17e+07   2:36.3
860   9471   -1.17e+07   2:39.9
880   9691   -1.17e+07   2:43.4
900   9911   -1.17e+07   2:47.8
920   10131  -1.17e+07   2:52.0
940   10351  -1.17e+07   2:56.4
960   10571  -1.17e+07   3:00.0
980   10791  -1.17e+07   3:03.8
1000  11011  -1.13e+07   3:08.4
1020  11231  -9806767    3:12.9
1040  11451  -9329141    3:16.5
1060  11671  -8998549    3:20.1
1080  11891  -8886886    3:23.9
1100  12111  -8589123    3:28.2
1120  12331  -8258273    3:32.0
1140  12551  -8176913    3:35.7
1160  12771  -8172203    3:39.4
1180  12991  -8171785    3:43.9
1200  13211  -8171582    3:47.8
1220  13431  -8171044    3:51.3
1240  13651  -8163489    3:55.0
1260  13871  -8144889    3:58.6
1280  14091  -8110374    4:02.0
1300  14311  -8090974    4:05.6
1320  14531  -8051609    4:09.2
1340  14751  -8011078    4:12.9
1360  14971  -7978961    4:16.6
1380  15191  -7962770    4:20.2
1400  15411  -7951265    4:24.1
1420  15631  -7945770    4:28.3
1440  15851  -7944608    4:32.8
1460  16071  -7944388    4:37.0
1480  16291  -7944376    4:40.7
1500  16511  -7944375    4:45.2
1520  16731  -7944373    4:49.7
1540  16951  -7944372    4:53.5
1560  17171  -7944372    4:57.3
1580  17391  -7944371    5:01.0
1600  17611  -7944371    5:04.8
1620  17831  -7944371    5:08.6
1640  18051  -7944371    5:13.4
1660  18271  -7944371    5:17.7
1680  18491  -7944371    5:21.8
1700  18711  -7944371    5:26.2
1720  18931  -7944371    5:30.0
1740  19151  -7944371    5:33.8
1760  19371  -7944371    5:37.7
1780  19591  -7944371    5:41.6
1800  19811  -7944371    5:45.6
1820  20031  -7944371    5:49.5
1840  20251  -7944371    5:53.6
1860  20471  -7944371    5:57.8
1865  20515  -7944371    5:58.6
