Iter. Eval.  Best      Time m:s
0     12     -6.84e+12   0:00.7
1     24     -6.44e+12   0:00.9
2     36     -5.45e+12   0:01.2
3     48     -4.93e+12   0:01.4
20    252    -3.19e+09   0:05.0
40    492    -3.19e+09   0:09.3
60    732    -3.19e+09   0:13.6
80    972    -3.19e+09   0:17.8
100   1212   -3.19e+09   0:22.2
120   1452   -3.19e+09   0:26.6
140   1692   -3.14e+09   0:30.9
160   1932   -3.07e+09   0:35.1
180   2172   -3.03e+09   0:39.5
200   2412   -2.98e+09   0:43.9
220   2652   -2.95e+09   0:48.3
240   2892   -2.95e+09   0:52.6
260   3132   -2.95e+09   0:57.2
280   3372   -2.95e+09   1:02.1
300   3612   -2.95e+09   1:06.8
320   3852   -2.95e+09   1:11.6
340   4092   -2.94e+09   1:16.6
360   4332   -2.8e+09    1:21.3
380   4572   -2.76e+09   1:26.0
400   4812   -2.74e+09   1:30.4
420   5052   -2.71e+09   1:34.5
440   5292   -2.66e+09   1:38.7
460   5532   -2.65e+09   1:42.8
480   5772   -2.64e+09   1:47.3
500   6012   -2.62e+09   1:52.0
520   6252   -2.61e+09   1:57.1
540   6492   -2.6e+09    2:01.4
560   6732   -2.6e+09    2:05.7
580   6972   -2.6e+09    2:10.2
600   7212   -2.59e+09   2:14.3
620   7452   -2.59e+09   2:18.5
640   7692   -2.58e+09   2:23.0
660   7932   -2.52e+09   2:27.1
680   8172   -2.23e+09   2:31.2
700   8412   -2.04e+09   2:35.5
720   8652   -1.53e+09   2:40.2
740   8892   -1.48e+09   2:44.7
760   9132   -1.4e+09    2:49.3
780   9372   -1.35e+09   2:54.4
800   9612   -1.3e+09    2:59.4
820   9852   -1.27e+09   3:04.0
840   10092  -1.25e+09   3:09.1
860   10332  -1.25e+09   3:14.0
880   10572  -1.24e+09   3:18.9
900   10812  -1.24e+09   3:24.4
920   11052  -1.23e+09   3:29.2
940   11292  -1.23e+09   3:33.4
960   11532  -1.22e+09   3:37.8
980   11772  -1.22e+09   3:42.4
1000  12012  -1.21e+09   3:47.2
1020  12252  -1.21e+09   3:52.2
1040  12492  -1.21e+09   3:57.3
1060  12732  -1.21e+09   4:02.4
1080  12972  -1.21e+09   4:07.8
1100  13212  -1.21e+09   4:12.6
1120  13452  -1.2e+09    4:17.1
1140  13692  -1.2e+09    4:21.9
1160  13932  -1.2e+09    4:26.4
1180  14172  -1.2e+09    4:31.1
1200  14412  -1.2e+09    4:35.5
1220  14652  -1.19e+09   4:40.0
1240  14892  -1.14e+09   4:45.1
1260  15132  -1.08e+09   4:49.9
1280  15372  -1.06e+09   4:54.9
1300  15612  -1.03e+09   5:00.2
1320  15852  -1e+09      5:05.2
1340  16092  -9.72e+08   5:09.9
1360  16332  -9.21e+08   5:14.9
1380  16572  -8.1e+08    5:19.9
1400  16812  -6.85e+08   5:25.1
1420  17052  -6.44e+08   5:31.0
1440  17292  -5.89e+08   5:36.6
1460  17532  -5.58e+08   5:41.8
1480  17772  -4.76e+08   5:47.1
1500  18012  -4.17e+08   5:51.8
1520  18252  -3.75e+08   5:56.9
1540  18492  -3.07e+08   6:02.1
1560  18732  -2.69e+08   6:06.9
1580  18972  -1.81e+08   6:11.6
1600  19212  -1.43e+08   6:16.3
1620  19452  -1.09e+08   6:21.1
1640  19692  -1.02e+08   6:25.7
1660  19932  -9.9e+07    6:30.2
1680  20172  -9.6e+07    6:35.6
1700  20412  -9.3e+07    6:41.1
1720  20652  -9.09e+07   6:45.9
1740  20892  -9.04e+07   6:50.7
1760  21132  -9e+07      6:55.6
1780  21372  -8.95e+07   7:00.5
1800  21612  -8.88e+07   7:04.9
1820  21852  -8.78e+07   7:09.5
1840  22092  -8.57e+07   7:14.3
1860  22332  -8.27e+07   7:19.1
1880  22572  -7.9e+07    7:23.9
1900  22812  -7.35e+07   7:29.0
1920  23052  -7.17e+07   7:34.4
1940  23292  -6.78e+07   7:39.5
