Iter. Eval.  Best      Time m:s
0     11     -7.75e+09   0:00.5
1     22     -7.75e+09   0:00.7
2     33     -7.75e+09   0:00.8
3     44     -7.74e+09   0:01.0
20    231    -5.1e+09    0:02.9
40    451    -5.05e+09   0:05.1
60    671    -5.03e+09   0:07.8
80    891    -5.02e+09   0:10.2
100   1111   -5e+09      0:12.3
120   1331   -4.99e+09   0:14.6
140   1551   -4.99e+09   0:17.5
160   1771   -4.99e+09   0:20.8
180   1991   -4.99e+09   0:23.4
200   2211   -4.94e+09   0:25.8
220   2431   -4.78e+09   0:28.0
240   2651   -4.72e+09   0:30.5
260   2871   -4.72e+09   0:32.8
280   3091   -4.65e+09   0:34.9
300   3311   -4.53e+09   0:37.2
320   3531   -4.3e+09    0:39.5
340   3751   -4.06e+09   0:42.0
360   3971   -3.07e+09   0:44.4
380   4191   -3.06e+09   0:46.5
400   4411   -3.04e+09   0:49.0
420   4631   -3.03e+09   0:51.1
440   4851   -3.01e+09   0:53.1
460   5071   -3e+09      0:55.3
480   5291   -2.98e+09   0:57.4
500   5511   -2.97e+09   1:00.5
520   5731   -2.95e+09   1:03.8
540   5951   -2.94e+09   1:06.1
560   6171   -2.92e+09   1:08.2
580   6391   -2.91e+09   1:10.4
600   6611   -2.86e+09   1:12.4
620   6831   -2.77e+09   1:15.3
640   7051   -2.75e+09   1:18.5
660   7271   -2.74e+09   1:21.4
680   7491   -2.72e+09   1:23.8
700   7711   -2.71e+09   1:26.1
720   7931   -2.7e+09    1:28.2
740   8151   -2.69e+09   1:30.3
760   8371   -2.69e+09   1:32.4
780   8591   -2.69e+09   1:34.5
800   8811   -2.68e+09   1:36.6
820   9031   -2.67e+09   1:38.6
840   9251   -2.66e+09   1:40.6
860   9471   -2.65e+09   1:42.7
880   9691   -2.63e+09   1:44.7
900   9911   -2.62e+09   1:46.8
920   10131  -2.61e+09   1:48.8
940   10351  -2.54e+09   1:50.9
960   10571  -4.29e+08   1:53.1
980   10791  -1.76e+08   1:55.6
1000  11011  -1.36e+08   1:59.4
1020  11231  -1.28e+08   2:03.0
1040  11451  -1.22e+08   2:05.0
1060  11671  -1.17e+08   2:07.2
1080  11891  -1.1e+08    2:09.2
1100  12111  -1.03e+08   2:11.3
1120  12331  -9.28e+07   2:13.3
1140  12551  -8.24e+07   2:15.4
1160  12771  -7.51e+07   2:17.8
1180  12991  -6.49e+07   2:20.2
1200  13211  -4.99e+07   2:23.4
1220  13431  -4.53e+07   2:26.6
1240  13651  -3.89e+07   2:29.5
1260  13871  -3.6e+07    2:31.7
1280  14091  -2.77e+07   2:33.6
1300  14311  -1.96e+07   2:35.6
1320  14531  -1.65e+07   2:37.6
1340  14751  -1.47e+07   2:39.6
1360  14971  -1.36e+07   2:41.6
1380  15191  -1.33e+07   2:43.7
1400  15411  -1.28e+07   2:45.8
1420  15631  -1.24e+07   2:47.9
1440  15851  -1.21e+07   2:50.0
1460  16071  -1.2e+07    2:52.0
1480  16291  -1.19e+07   2:54.6
1500  16511  -1.18e+07   2:57.5
1520  16731  -1.18e+07   3:00.4
1540  16951  -1.17e+07   3:02.7
1560  17171  -1.17e+07   3:04.9
1580  17391  -1.16e+07   3:07.1
1600  17611  -1.15e+07   3:09.3
1620  17831  -1.14e+07   3:11.4
1640  18051  -1.12e+07   3:13.5
1660  18271  -1.1e+07    3:16.0
1680  18491  -1.07e+07   3:18.4
1700  18711  -1.05e+07   3:20.8
1720  18931  -1.01e+07   3:23.2
1740  19151  -9522694    3:26.5
1760  19371  -9116656    3:29.9
1780  19591  -8861282    3:32.1
1800  19811  -8622859    3:34.4
1820  20031  -8479542    3:36.7
1840  20251  -8364474    3:38.7
1860  20471  -8306550    3:41.0
1880  20691  -8283575    3:43.4
1900  20911  -8274049    3:45.5
1920  21131  -8266493    3:47.6
1940  21351  -8240554    3:49.7
1960  21571  -8147964    3:51.8
1980  21791  -8066246    3:54.9
2000  22011  -7958573    3:58.2
2020  22231  -7890005    4:01.5
2040  22451  -7872196    4:04.2
2060  22671  -7850452    4:06.6
2080  22891  -7839789    4:08.8
2100  23111  -7823521    4:11.1
2120  23331  -7811580    4:13.3
2140  23551  -7807180    4:15.6
2160  23771  -7806445    4:17.7
2180  23991  -7805929    4:19.9
2200  24211  -7805783    4:22.2
2220  24431  -7805618    4:24.9
2240  24651  -7805570    4:28.2
2260  24871  -7805547    4:31.5
2280  25091  -7805479    4:33.7
2300  25311  -7805249    4:36.0
2320  25531  -7804829    4:38.3
2340  25751  -7804753    4:40.5
2360  25971  -7804742    4:42.8
2380  26191  -7804729    4:45.0
2400  26411  -7804729    4:47.4
2420  26631  -7804726    4:49.6
2440  26851  -7804725    4:51.8
2460  27071  -7804724    4:54.0
2480  27291  -7804724    4:56.8
2500  27511  -7804723    5:00.0
2520  27731  -7804723    5:03.4
2540  27951  -7804723    5:06.3
2560  28171  -7804722    5:08.6
2580  28391  -7804722    5:10.7
2600  28611  -7804722    5:13.0
2620  28831  -7804721    5:15.2
2640  29051  -7804721    5:17.4
2660  29271  -7804721    5:19.8
2680  29491  -7804720    5:22.1
2700  29711  -7804720    5:24.2
2720  29931  -7804720    5:26.3
2740  30151  -7804720    5:28.7
2760  30371  -7804720    5:31.8
2780  30591  -7804720    5:35.0
2800  30811  -7804720    5:38.2
2820  31031  -7804720    5:41.4
2840  31251  -7804720    5:44.3
2860  31471  -7804720    5:46.4
2879  31669  -7804720    5:49.3
