Iter. Eval.  Best      Time m:s
0     12     -5.43e+12   0:00.7
1     24     -5.36e+12   0:01.1
2     36     -5.32e+12   0:01.3
3     48     -5.27e+12   0:01.6
20    252    -3.09e+12   0:06.0
40    492    -4.95e+09   0:10.8
60    732    -3.39e+09   0:15.6
80    972    -3.18e+09   0:20.4
100   1212   -3.18e+09   0:25.2
120   1452   -3.06e+09   0:30.2
140   1692   -2.78e+09   0:34.9
160   1932   -2.66e+09   0:40.1
180   2172   -2.65e+09   0:45.3
200   2412   -2.63e+09   0:50.4
220   2652   -2.55e+09   0:55.1
240   2892   -2.43e+09   1:00.2
260   3132   -2.34e+09   1:05.3
280   3372   -2.2e+09    1:10.8
300   3612   -2.14e+09   1:16.4
320   3852   -2.11e+09   1:21.7
340   4092   -2.1e+09    1:27.4
360   4332   -2.1e+09    1:32.7
380   4572   -2.09e+09   1:38.1
400   4812   -2.08e+09   1:42.8
420   5052   -2.03e+09   1:48.0
440   5292   -1.94e+09   1:53.1
460   5532   -1.51e+09   1:58.0
480   5772   -1.51e+09   2:02.8
500   6012   -1.51e+09   2:08.6
520   6252   -1.5e+09    2:14.9
540   6492   -1.5e+09    2:20.7
560   6732   -1.5e+09    2:25.9
580   6972   -1.5e+09    2:31.0
600   7212   -1.5e+09    2:36.1
620   7452   -1.5e+09    2:41.2
640   7692   -1.5e+09    2:46.5
660   7932   -1.49e+09   2:51.9
680   8172   -1.4e+09    2:58.1
700   8412   -9.75e+08   3:03.8
720   8652   -9.35e+08   3:09.5
740   8892   -8.9e+08    3:15.3
760   9132   -8.9e+08    3:21.7
780   9372   -8.87e+08   3:27.7
800   9612   -8.83e+08   3:33.9
820   9852   -8.8e+08    3:39.4
840   10092  -8.77e+08   3:44.8
860   10332  -8.71e+08   3:50.0
880   10572  -8.62e+08   3:55.3
900   10812  -8.42e+08   4:00.6
920   11052  -8.28e+08   4:06.0
940   11292  -8.19e+08   4:11.7
960   11532  -7.95e+08   4:17.0
980   11772  -7.93e+08   4:22.5
1000  12012  -7.85e+08   4:29.1
1020  12252  -7.71e+08   4:35.2
1040  12492  -7.24e+08   4:40.4
1060  12732  -3.88e+08   4:45.6
1080  12972  -3.53e+08   4:51.0
1100  13212  -3.08e+08   4:56.4
1120  13452  -3.02e+08   5:01.8
1140  13692  -2.93e+08   5:07.3
1160  13932  -2.81e+08   5:12.6
1180  14172  -2.74e+08   5:18.0
1200  14412  -2.71e+08   5:23.9
1220  14652  -2.7e+08    5:30.2
1240  14892  -2.67e+08   5:36.7
1260  15132  -1.24e+08   5:41.8
1280  15372  -9.21e+07   5:47.4
1300  15612  -6.87e+07   5:53.0
1320  15852  -3.93e+07   5:58.6
1340  16092  -3.16e+07   6:03.8
1360  16332  -2.56e+07   6:09.3
1380  16572  -2.13e+07   6:14.9
1400  16812  -1.96e+07   6:20.5
1420  17052  -1.85e+07   6:25.8
1440  17292  -1.8e+07    6:31.2
1460  17532  -1.76e+07   6:36.5
1480  17772  -1.72e+07   6:42.0
1500  18012  -1.61e+07   6:47.9
1520  18252  -1.26e+07   6:53.7
1540  18492  -1.19e+07   6:58.9
1560  18732  -1.13e+07   7:04.0
1580  18972  -1.06e+07   7:09.3
1600  19212  -9782573    7:14.8
1620  19452  -9030054    7:20.0
1640  19692  -8808228    7:25.1
1660  19932  -8678766    7:31.0
1680  20172  -8546785    7:37.3
1700  20412  -8464696    7:42.5
1720  20652  -8361552    7:48.1
1740  20892  -8298832    7:53.9
1760  21132  -8273085    7:59.0
1780  21372  -8241365    8:04.4
1800  21612  -8225227    8:09.7
1820  21852  -8210372    8:15.0
1840  22092  -8171189    8:20.8
1860  22332  -7801848    8:26.5
1880  22572  -7675999    8:31.7
1900  22812  -7599488    8:36.7
1920  23052  -7570746    8:42.0
1940  23292  -7560328    8:47.1
1960  23532  -7551846    8:52.6
1980  23772  -7547319    8:58.8
2000  24012  -7545812    9:05.4
2020  24252  -7544152    9:12.5
2040  24492  -7542499    9:18.2
2060  24732  -7541810    9:23.5
2080  24972  -7541500    9:28.8
2100  25212  -7541264    9:34.4
2120  25452  -7540569    9:40.4
2140  25692  -7537823    9:47.0
2160  25932  -7535686    9:52.5
2180  26172  -7533538    9:58.2
2200  26412  -7532943   10:03.7
2220  26652  -7532665   10:09.3
2240  26892  -7532533   10:14.9
2260  27132  -7532440   10:20.4
2280  27372  -7532357   10:26.5
2300  27612  -7532311   10:32.3
2320  27852  -7532262   10:38.1
2340  28092  -7532237   10:44.1
2360  28332  -7532219   10:49.6
2380  28572  -7532212   10:54.7
2400  28812  -7532209   11:00.0
2420  29052  -7532207   11:05.5
2440  29292  -7532207   11:10.8
2460  29532  -7532207   11:16.3
2480  29772  -7532207   11:22.2
2500  30012  -7532207   11:28.4
2520  30252  -7532207   11:35.1
2540  30492  -7532206   11:40.5
2560  30732  -7532206   11:46.2
2580  30972  -7532203   11:51.7
2600  31212  -7532203   11:57.1
2620  31452  -7532203   12:02.8
2640  31692  -7532203   12:08.3
2660  31932  -7532203   12:13.7
2680  32172  -7532203   12:19.5
2700  32412  -7532203   12:26.0
2720  32652  -7532203   12:31.7
2740  32892  -7532203   12:37.2
2760  33132  -7532202   12:42.9
2780  33372  -7532202   12:49.0
2800  33612  -7532201   12:55.1
2820  33852  -7532201   13:01.5
2840  34092  -7532201   13:07.2
2860  34332  -7532200   13:12.7
2880  34572  -7532200   13:18.6
2900  34812  -7532200   13:24.3
2920  35052  -7532199   13:30.6
2940  35292  -7532199   13:37.5
2960  35532  -7532199   13:43.7
2980  35772  -7532198   13:49.9
3000  36012  -7532198   13:56.7
3020  36252  -7532198   14:03.7
3040  36492  -7532198   14:09.6
3060  36732  -7532198   14:15.5
3080  36972  -7532198   14:21.6
3100  37212  -7532198   14:27.8
3120  37452  -7532198   14:34.2
3140  37692  -7532198   14:40.3
3160  37932  -7532198   14:46.6
3179  38148  -7532198   14:52.0
