Iter. Eval.  Best      Time m:s
0     12     -1.84e+12   0:00.7
1     24     -1.67e+12   0:01.0
2     36     -1.28e+12   0:01.3
3     48     -7.83e+11   0:01.6
20    252    -1.04e+10   0:06.0
40    492    -1.01e+10   0:11.0
60    732    -1.01e+10   0:15.7
80    972    -1.01e+10   0:20.4
100   1212   -1.01e+10   0:25.0
120   1452   -9.97e+09   0:29.6
140   1692   -9.75e+09   0:34.6
160   1932   -9.02e+09   0:39.5
180   2172   -7.58e+09   0:44.2
200   2412   -3.18e+09   0:49.1
220   2652   -3.18e+09   0:54.1
240   2892   -2.55e+09   0:59.0
260   3132   -2.47e+09   1:04.4
280   3372   -2.4e+09    1:10.6
300   3612   -2.31e+09   1:16.2
320   3852   -2.28e+09   1:21.2
340   4092   -2.28e+09   1:26.2
360   4332   -2.27e+09   1:31.1
380   4572   -2.27e+09   1:35.9
400   4812   -2.27e+09   1:40.9
420   5052   -2.27e+09   1:45.9
440   5292   -2.27e+09   1:50.8
460   5532   -2.27e+09   1:55.7
480   5772   -2.27e+09   2:00.9
500   6012   -2.26e+09   2:07.0
520   6252   -2.26e+09   2:12.3
540   6492   -2.24e+09   2:17.1
560   6732   -2.22e+09   2:21.8
580   6972   -2.15e+09   2:26.4
600   7212   -2.1e+09    2:31.0
620   7452   -2.08e+09   2:35.8
640   7692   -2.06e+09   2:40.6
660   7932   -2.06e+09   2:45.2
680   8172   -2.05e+09   2:49.9
700   8412   -2.05e+09   2:54.7
720   8652   -2.04e+09   2:59.3
740   8892   -2.04e+09   3:04.0
760   9132   -2.04e+09   3:10.0
780   9372   -2.03e+09   3:15.8
800   9612   -2.03e+09   3:21.0
820   9852   -2.03e+09   3:26.0
840   10092  -2.02e+09   3:31.0
860   10332  -1.99e+09   3:36.3
880   10572  -1.98e+09   3:41.3
900   10812  -1.97e+09   3:46.4
920   11052  -1.96e+09   3:51.3
940   11292  -1.94e+09   3:56.3
960   11532  -1.89e+09   4:01.2
980   11772  -1.77e+09   4:06.8
1000  12012  -1.61e+09   4:13.2
1020  12252  -1.48e+09   4:18.0
1040  12492  -1.43e+09   4:23.4
1060  12732  -1.4e+09    4:28.4
1080  12972  -1.34e+09   4:33.3
1100  13212  -1.27e+09   4:38.2
1120  13452  -1.23e+09   4:43.2
1140  13692  -1.22e+09   4:48.3
1160  13932  -1.2e+09    4:53.3
1180  14172  -1.17e+09   4:58.4
1200  14412  -1.16e+09   5:03.2
1220  14652  -1.14e+09   5:08.1
1240  14892  -1.12e+09   5:13.6
1260  15132  -1.1e+09    5:20.1
1280  15372  -1.07e+09   5:24.9
1300  15612  -1.07e+09   5:29.4
1320  15852  -1.06e+09   5:34.7
1340  16092  -1.06e+09   5:39.3
1360  16332  -1.06e+09   5:44.2
1380  16572  -1.06e+09   5:48.8
1400  16812  -1.05e+09   5:53.6
1420  17052  -1.04e+09   5:58.8
1440  17292  -1.03e+09   6:03.6
1460  17532  -1.03e+09   6:08.5
1480  17772  -1.03e+09   6:13.6
1500  18012  -1.02e+09   6:19.2
1520  18252  -9.92e+08   6:24.8
