Iter. Eval.  Best      Time m:s
0     11     -7.75e+09   0:00.7
1     22     -7.75e+09   0:00.9
2     33     -7.75e+09   0:01.2
3     44     -7.75e+09   0:01.4
20    231    -7.68e+09   0:05.4
40    451    -7.36e+09   0:09.8
60    671    -7.36e+09   0:14.4
80    891    -7.36e+09   0:19.3
100   1111   -7.36e+09   0:24.7
120   1331   -7.36e+09   0:30.2
140   1551   -7.36e+09   0:35.8
160   1771   -7.36e+09   0:41.2
180   1991   -7.36e+09   0:47.2
200   2211   -7.36e+09   0:52.5
220   2431   -7.36e+09   0:57.6
240   2651   -7.36e+09   1:02.5
260   2871   -7.36e+09   1:07.6
280   3091   -7.36e+09   1:12.3
300   3311   -7.36e+09   1:16.9
320   3531   -7.36e+09   1:21.2
340   3751   -7.36e+09   1:25.8
360   3971   -7.36e+09   1:30.7
380   4191   -7.36e+09   1:35.2
400   4411   -7.35e+09   1:39.9
420   4631   -7.35e+09   1:44.5
440   4851   -7.35e+09   1:49.2
460   5071   -7.35e+09   1:54.0
480   5291   -7.35e+09   1:59.2
500   5511   -7.34e+09   2:05.4
520   5731   -7.2e+09    2:11.7
540   5951   -5.32e+09   2:16.8
560   6171   -3e+09      2:21.7
580   6391   -2.05e+09   2:26.6
600   6611   -1.85e+09   2:32.4
620   6831   -1.66e+09   2:38.1
640   7051   -1.59e+09   2:43.5
660   7271   -1.51e+09   2:48.3
680   7491   -1.46e+09   2:54.2
700   7711   -1.34e+09   2:59.9
720   7931   -1.29e+09   3:06.3
740   8151   -1.23e+09   3:12.8
760   8371   -1.17e+09   3:18.8
780   8591   -1.15e+09   3:24.1
800   8811   -1.15e+09   3:29.3
820   9031   -1.14e+09   3:34.4
840   9251   -1.14e+09   3:39.4
860   9471   -1.13e+09   3:44.5
880   9691   -1.01e+09   3:49.4
900   9911   -8.95e+08   3:54.4
920   10131  -7.97e+08   3:59.5
940   10351  -6.86e+08   4:04.7
960   10571  -6.31e+08   4:09.8
980   10791  -5.67e+08   4:14.9
1000  11011  -4.87e+08   4:21.5
1020  11231  -3.04e+08   4:28.2
1040  11451  -1.58e+08   4:33.6
1060  11671  -1.36e+08   4:38.7
1080  11891  -1.2e+08    4:43.5
1100  12111  -1.1e+08    4:48.4
1120  12331  -9.92e+07   4:53.5
1140  12551  -9.33e+07   4:59.3
1160  12771  -9.07e+07   5:04.7
1180  12991  -8.79e+07   5:10.3
1200  13211  -8.5e+07    5:16.0
1220  13431  -8.34e+07   5:22.3
1240  13651  -8.16e+07   5:27.9
1260  13871  -7.76e+07   5:33.2
1280  14091  -7.41e+07   5:38.1
1300  14311  -7.23e+07   5:43.0
1320  14531  -7.04e+07   5:47.7
1340  14751  -6.63e+07   5:52.7
1360  14971  -5.12e+07   5:57.6
1380  15191  -4.52e+07   6:02.6
1400  15411  -3.49e+07   6:07.7
1420  15631  -2.43e+07   6:12.8
1440  15851  -1.91e+07   6:18.3
1460  16071  -1.51e+07   6:23.8
1480  16291  -1.25e+07   6:29.1
1500  16511  -1.19e+07   6:34.2
1520  16731  -1.18e+07   6:40.2
1540  16951  -1.17e+07   6:45.6
1560  17171  -1.17e+07   6:51.1
1580  17391  -1.17e+07   6:56.6
1600  17611  -1.17e+07   7:02.1
1620  17831  -1.17e+07   7:07.3
1640  18051  -1.15e+07   7:12.4
1660  18271  -1.13e+07   7:18.0
1680  18491  -1.11e+07   7:24.0
1700  18711  -1.09e+07   7:29.6
1720  18931  -1.08e+07   7:35.7
1740  19151  -1.08e+07   7:41.3
1760  19371  -1.08e+07   7:46.8
1780  19591  -1.08e+07   7:52.1
1800  19811  -1.08e+07   7:57.0
1820  20031  -1.08e+07   8:02.3
1840  20251  -1.08e+07   8:07.4
1860  20471  -1.08e+07   8:12.7
1880  20691  -1.08e+07   8:18.3
1900  20911  -1.08e+07   8:23.8
1920  21131  -1.08e+07   8:29.5
1940  21351  -1.08e+07   8:34.8
1960  21571  -1.07e+07   8:39.9
1980  21791  -1.06e+07   8:45.4
2000  22011  -1.04e+07   8:51.1
2020  22231  -1.01e+07   8:57.6
2040  22451  -9784327    9:03.6
2060  22671  -9386030    9:09.4
2080  22891  -9001395    9:15.0
2100  23111  -8776570    9:20.1
2120  23331  -8598223    9:24.9
2140  23551  -8519202    9:29.8
2160  23771  -8418343    9:34.7
2180  23991  -8343290    9:40.0
2200  24211  -8228459    9:45.3
2220  24431  -8184815    9:51.2
2240  24651  -8161129    9:57.3
2260  24871  -8145164   10:03.0
2280  25091  -8115193   10:08.6
2300  25311  -8077109   10:13.5
2320  25531  -7985685   10:18.5
2340  25751  -7963173   10:23.6
2360  25971  -7945367   10:28.8
2380  26191  -7922999   10:34.6
2400  26411  -7890313   10:40.3
2420  26631  -7831648   10:45.9
2440  26851  -7753128   10:51.2
2460  27071  -7715489   10:56.4
2480  27291  -7688667   11:02.0
2500  27511  -7680771   11:07.0
2520  27731  -7677672   11:13.6
2540  27951  -7677160   11:19.2
2560  28171  -7677083   11:24.4
2580  28391  -7677075   11:29.5
2600  28611  -7677074   11:34.6
2620  28831  -7677074   11:40.0
2640  29051  -7677074   11:45.1
2660  29271  -7677074   11:50.4
2680  29491  -7677074   11:55.4
2700  29711  -7677074   12:00.4
2720  29931  -7677074   12:05.5
2740  30151  -7677073   12:10.8
2760  30371  -7677073   12:15.8
2780  30591  -7677073   12:21.5
2800  30811  -7677073   12:27.2
2820  31031  -7677073   12:32.0
2840  31251  -7677073   12:36.9
2860  31471  -7677073   12:42.1
2880  31691  -7677073   12:47.4
2900  31911  -7677073   12:52.7
2920  32131  -7677073   12:58.5
2940  32351  -7677073   13:04.0
2960  32571  -7677073   13:09.4
2980  32791  -7677073   13:15.7
3000  33011  -7677073   13:21.3
3002  33022  -7677073   13:21.6
