Iter. Eval.  Best      Time m:s
0     11     -7.75e+09   0:00.6
1     22     -7.75e+09   0:00.9
2     33     -7.75e+09   0:01.1
3     44     -7.75e+09   0:01.3
20    231    -7.45e+09   0:05.3
40    451    -7.2e+09    0:10.0
60    671    -7.06e+09   0:15.2
80    891    -7.03e+09   0:20.5
100   1111   -7e+09      0:25.3
120   1331   -7e+09      0:29.9
140   1551   -6.99e+09   0:34.5
160   1771   -6.99e+09   0:39.1
180   1991   -6.99e+09   0:43.9
200   2211   -6.99e+09   0:48.7
220   2431   -6.99e+09   0:53.7
240   2651   -6.98e+09   0:58.5
260   2871   -6.96e+09   1:03.5
280   3091   -6.92e+09   1:09.0
300   3311   -6.75e+09   1:14.3
320   3531   -6.71e+09   1:19.5
340   3751   -6.67e+09   1:24.9
360   3971   -6.62e+09   1:30.2
380   4191   -6.57e+09   1:35.7
400   4411   -6.46e+09   1:41.2
420   4631   -6.32e+09   1:46.1
440   4851   -6.13e+09   1:51.2
460   5071   -6.08e+09   1:56.0
480   5291   -5.98e+09   2:00.7
500   5511   -5.89e+09   2:06.0
520   5731   -5.75e+09   2:11.5
540   5951   -5.22e+09   2:16.7
560   6171   -5.06e+09   2:21.9
580   6391   -4.9e+09    2:27.4
600   6611   -4.67e+09   2:32.4
620   6831   -4.12e+09   2:37.5
640   7051   -3.81e+09   2:42.4
660   7271   -3.72e+09   2:47.2
680   7491   -3.66e+09   2:51.9
700   7711   -3.62e+09   2:56.6
720   7931   -3.62e+09   3:01.3
740   8151   -3.61e+09   3:06.2
760   8371   -3.6e+09    3:11.0
780   8591   -3.59e+09   3:15.8
800   8811   -3.57e+09   3:21.1
820   9031   -3.46e+09   3:26.3
840   9251   -3.26e+09   3:31.6
860   9471   -3.25e+09   3:36.9
880   9691   -3.24e+09   3:42.4
900   9911   -3.24e+09   3:47.9
920   10131  -3.23e+09   3:53.3
940   10351  -3.23e+09   3:58.1
960   10571  -3.22e+09   4:03.1
980   10791  -3.2e+09    4:08.7
1000  11011  -3.2e+09    4:14.7
1020  11231  -3.2e+09    4:20.4
1040  11451  -3.2e+09    4:25.7
1060  11671  -3.2e+09    4:30.9
1080  11891  -3.2e+09    4:35.9
1100  12111  -3.2e+09    4:41.3
1120  12331  -3.2e+09    4:46.2
1140  12551  -3.2e+09    4:51.1
1160  12771  -3.2e+09    4:55.8
1180  12991  -3.2e+09    5:00.5
1200  13211  -3.2e+09    5:05.0
1220  13431  -3.2e+09    5:09.8
1240  13651  -3.2e+09    5:14.7
1260  13871  -3.2e+09    5:20.0
1280  14091  -3.2e+09    5:25.0
1300  14311  -3.2e+09    5:30.7
1320  14531  -3.2e+09    5:36.7
1340  14751  -3.2e+09    5:41.8
1360  14971  -3.2e+09    5:47.1
1380  15191  -3.2e+09    5:52.9
1400  15411  -3.2e+09    5:58.2
1420  15631  -3.2e+09    6:03.9
1440  15851  -3.2e+09    6:09.4
1460  16071  -3.2e+09    6:14.5
1480  16291  -3.2e+09    6:19.9
1500  16511  -3.2e+09    6:25.8
1520  16731  -3.2e+09    6:32.1
1540  16951  -3.2e+09    6:37.2
1560  17171  -3.2e+09    6:43.1
1580  17391  -3.2e+09    6:48.9
1600  17611  -3.2e+09    6:54.6
1620  17831  -3.2e+09    7:00.0
1640  18051  -3.2e+09    7:05.3
1660  18271  -3.2e+09    7:10.8
1680  18491  -3.2e+09    7:16.1
1700  18711  -3.2e+09    7:21.5
1715  18865  -3.2e+09    7:25.5
