Iter. Eval.  Best      Time m:s
0     11     -7.75e+09   0:00.6
1     22     -7.75e+09   0:00.9
2     33     -7.75e+09   0:01.2
3     44     -7.75e+09   0:01.5
20    231    -6.27e+09   0:06.2
40    451    -4.96e+09   0:11.4
60    671    -4.06e+09   0:16.6
80    891    -3.61e+09   0:21.7
100   1111   -2.83e+09   0:26.9
120   1331   -2.33e+09   0:32.4
140   1551   -2.23e+09   0:37.7
160   1771   -1.98e+09   0:42.7
180   1991   -1.95e+09   0:47.8
200   2211   -1.83e+09   0:53.0
220   2431   -1.68e+09   0:58.6
240   2651   -1.63e+09   1:04.4
260   2871   -1.6e+09    1:09.9
280   3091   -1.56e+09   1:15.1
300   3311   -1.5e+09    1:20.5
320   3531   -1.45e+09   1:26.3
340   3751   -1.45e+09   1:32.7
360   3971   -1.45e+09   1:38.2
380   4191   -1.44e+09   1:43.5
400   4411   -1.44e+09   1:48.8
420   4631   -1.4e+09    1:54.0
440   4851   -1.36e+09   1:59.7
460   5071   -1.29e+09   2:05.0
480   5291   -1.19e+09   2:10.9
500   5511   -1.16e+09   2:17.8
520   5731   -1.15e+09   2:24.4
540   5951   -1.14e+09   2:30.3
560   6171   -1.14e+09   2:35.8
580   6391   -1.14e+09   2:41.0
600   6611   -1.14e+09   2:46.2
620   6831   -1.14e+09   2:52.0
640   7051   -1.14e+09   2:56.9
660   7271   -1.14e+09   3:01.9
680   7491   -1.14e+09   3:06.7
700   7711   -1.14e+09   3:11.7
720   7931   -1.14e+09   3:16.9
740   8151   -1.14e+09   3:22.6
760   8371   -1.14e+09   3:28.2
780   8591   -1.14e+09   3:33.6
800   8811   -1.14e+09   3:38.7
820   9031   -1.14e+09   3:44.4
840   9251   -1.14e+09   3:50.0
860   9471   -1.14e+09   3:55.4
880   9691   -1.14e+09   4:00.2
900   9911   -1.14e+09   4:04.8
920   10131  -1.14e+09   4:09.5
940   10351  -1.14e+09   4:14.1
960   10571  -1.14e+09   4:18.8
980   10791  -1.14e+09   4:23.6
1000  11011  -1.14e+09   4:29.3
1020  11231  -1.14e+09   4:34.7
1040  11451  -1.14e+09   4:39.5
1060  11671  -1.14e+09   4:44.5
1080  11891  -1.14e+09   4:49.7
1100  12111  -1.14e+09   4:55.0
1120  12331  -1.14e+09   4:59.9
1140  12551  -1.14e+09   5:04.9
1160  12771  -1.14e+09   5:09.8
1180  12991  -1.14e+09   5:14.7
1200  13211  -1.14e+09   5:19.4
1220  13431  -1.14e+09   5:24.9
1240  13651  -1.14e+09   5:30.6
1260  13871  -1.14e+09   5:36.4
1280  14091  -1.14e+09   5:42.2
1300  14311  -1.14e+09   5:47.3
1320  14531  -1.14e+09   5:52.5
1340  14751  -1.14e+09   5:57.8
1342  14762  -1.14e+09   5:58.1
