Iter. Eval.  Best      Time m:s
0     12     -2.5e+10    0:00.7
1     24     -1.78e+10   0:01.1
2     36     -1.54e+10   0:01.4
3     48     -1.45e+10   0:01.8
20    252    -9.89e+09   0:05.6
40    492    -9.84e+09   0:11.4
60    732    -9.74e+09   0:16.5
80    972    -9.67e+09   0:21.6
100   1212   -9.59e+09   0:26.8
120   1452   -9.56e+09   0:31.7
140   1692   -9.54e+09   0:37.1
160   1932   -9.54e+09   0:42.4
180   2172   -9.53e+09   0:47.6
200   2412   -9.52e+09   0:53.0
220   2652   -9.51e+09   0:58.0
240   2892   -9.48e+09   1:02.9
260   3132   -9.41e+09   1:08.0
280   3372   -9.15e+09   1:13.1
300   3612   -6.73e+09   1:18.2
320   3852   -5.17e+09   1:23.3
340   4092   -4.83e+09   1:28.4
360   4332   -4.81e+09   1:33.5
380   4572   -4.63e+09   1:38.5
400   4812   -4.22e+09   1:43.4
420   5052   -3.84e+09   1:48.2
440   5292   -3.75e+09   1:53.2
460   5532   -3.75e+09   1:58.0
480   5772   -3.73e+09   2:03.0
500   6012   -3.73e+09   2:09.3
520   6252   -3.73e+09   2:15.6
540   6492   -3.71e+09   2:20.9
560   6732   -3.71e+09   2:25.8
580   6972   -3.7e+09    2:30.6
600   7212   -3.7e+09    2:35.4
620   7452   -3.7e+09    2:40.6
640   7692   -3.69e+09   2:45.5
660   7932   -3.69e+09   2:50.2
680   8172   -3.69e+09   2:55.4
700   8412   -3.68e+09   3:00.4
720   8652   -3.65e+09   3:05.0
740   8892   -3.64e+09   3:10.2
760   9132   -3.64e+09   3:15.4
780   9372   -3.63e+09   3:20.6
800   9612   -3.63e+09   3:25.7
820   9852   -3.63e+09   3:30.6
840   10092  -3.63e+09   3:35.6
860   10332  -3.63e+09   3:40.6
880   10572  -3.63e+09   3:45.5
900   10812  -3.63e+09   3:50.1
920   11052  -3.63e+09   3:54.9
940   11292  -3.63e+09   3:59.9
960   11532  -3.63e+09   4:05.0
980   11772  -3.63e+09   4:10.4
1000  12012  -3.62e+09   4:17.0
1020  12252  -3.41e+09   4:23.7
1040  12492  -3.39e+09   4:29.0
1060  12732  -3.33e+09   4:34.3
1080  12972  -3.29e+09   4:39.3
1100  13212  -3.23e+09   4:44.3
1120  13452  -3.21e+09   4:49.5
1140  13692  -3.21e+09   4:54.5
1160  13932  -3.19e+09   5:00.0
1180  14172  -3.18e+09   5:04.9
1200  14412  -3.17e+09   5:09.8
1220  14652  -3.17e+09   5:15.2
1240  14892  -3.16e+09   5:20.2
1260  15132  -3.13e+09   5:25.1
1280  15372  -3.12e+09   5:30.5
1300  15612  -3.07e+09   5:35.3
1320  15852  -2.95e+09   5:40.4
1340  16092  -2.82e+09   5:45.5
1360  16332  -2.75e+09   5:50.6
1380  16572  -2.66e+09   5:56.0
1400  16812  -2.6e+09    6:01.6
1420  17052  -2.59e+09   6:07.3
1440  17292  -2.58e+09   6:13.2
1460  17532  -2.58e+09   6:19.3
