Iter. Eval.  Best      Time m:s
0     11     -7.75e+09   0:00.6
1     22     -7.75e+09   0:00.9
2     33     -7.75e+09   0:01.1
3     44     -7.75e+09   0:01.3
20    231    -7.63e+09   0:05.2
40    451    -2.39e+09   0:10.2
60    671    -2.08e+09   0:15.5
80    891    -2.05e+09   0:21.1
100   1111   -2.04e+09   0:26.5
120   1331   -2.04e+09   0:31.8
140   1551   -2.04e+09   0:37.0
160   1771   -2.04e+09   0:42.0
180   1991   -2.04e+09   0:46.5
200   2211   -2.04e+09   0:51.4
220   2431   -2.04e+09   0:55.9
240   2651   -2.04e+09   1:00.5
260   2871   -2.04e+09   1:05.1
280   3091   -2.04e+09   1:09.8
300   3311   -2.03e+09   1:14.5
320   3531   -2.03e+09   1:19.4
340   3751   -2.03e+09   1:24.6
360   3971   -2.02e+09   1:29.8
380   4191   -2.02e+09   1:34.5
400   4411   -2.01e+09   1:39.4
420   4631   -1.99e+09   1:44.3
440   4851   -1.98e+09   1:49.3
460   5071   -1.95e+09   1:54.2
480   5291   -1.93e+09   1:59.0
500   5511   -1.87e+09   2:04.6
520   5731   -1.83e+09   2:10.2
540   5951   -1.77e+09   2:16.0
560   6171   -1.75e+09   2:21.4
580   6391   -1.72e+09   2:26.6
600   6611   -1.71e+09   2:32.0
620   6831   -1.7e+09    2:37.2
640   7051   -1.69e+09   2:42.2
660   7271   -1.67e+09   2:47.0
680   7491   -1.65e+09   2:52.1
700   7711   -1.51e+09   2:56.9
720   7931   -1.49e+09   3:01.7
740   8151   -1.49e+09   3:06.5
760   8371   -1.48e+09   3:11.4
780   8591   -1.48e+09   3:16.2
800   8811   -1.47e+09   3:21.1
820   9031   -1.46e+09   3:25.9
840   9251   -1.45e+09   3:30.5
860   9471   -1.44e+09   3:35.5
880   9691   -1.44e+09   3:40.2
900   9911   -1.43e+09   3:45.2
920   10131  -1.43e+09   3:50.3
940   10351  -1.43e+09   3:55.2
960   10571  -1.38e+09   4:00.2
980   10791  -1.36e+09   4:05.3
1000  11011  -1.35e+09   4:10.9
1020  11231  -1.33e+09   4:16.9
1040  11451  -1.28e+09   4:21.8
1060  11671  -1.26e+09   4:27.9
1080  11891  -1.24e+09   4:33.8
1100  12111  -1.24e+09   4:39.3
1120  12331  -1.23e+09   4:44.3
1140  12551  -1.23e+09   4:49.2
1160  12771  -1.23e+09   4:54.2
1180  12991  -1.22e+09   4:59.0
1200  13211  -1.22e+09   5:04.0
1220  13431  -1.21e+09   5:08.9
1240  13651  -1.2e+09    5:13.8
1260  13871  -1.2e+09    5:19.0
1280  14091  -1.18e+09   5:23.9
1300  14311  -1.17e+09   5:28.7
1320  14531  -1.17e+09   5:33.5
1340  14751  -1.17e+09   5:38.6
1360  14971  -1.16e+09   5:43.4
1380  15191  -1.16e+09   5:48.5
1400  15411  -1.16e+09   5:53.4
1420  15631  -1.15e+09   5:58.1
1440  15851  -1.15e+09   6:03.0
1460  16071  -1.15e+09   6:08.2
1480  16291  -1.15e+09   6:13.0
1500  16511  -1.15e+09   6:18.7
1520  16731  -1.15e+09   6:24.6
1540  16951  -1.14e+09   6:30.4
1560  17171  -1.13e+09   6:35.9
1580  17391  -1.12e+09   6:41.2
1600  17611  -9.92e+08   6:46.6
1620  17831  -9.15e+08   6:51.8
1640  18051  -8.75e+08   6:57.0
1660  18271  -8.58e+08   7:02.5
1680  18491  -8.31e+08   7:08.3
1700  18711  -7.89e+08   7:14.0
1720  18931  -7.38e+08   7:19.7
1740  19151  -6.75e+08   7:25.0
1760  19371  -5.72e+08   7:30.2
1780  19591  -3.01e+08   7:35.6
1800  19811  -2.17e+08   7:41.1
1820  20031  -1.25e+08   7:46.5
1840  20251  -6.32e+07   7:52.4
1860  20471  -5.04e+07   7:58.0
1880  20691  -2.27e+07   8:04.0
1900  20911  -1.7e+07    8:09.6
1920  21131  -1.39e+07   8:15.2
1940  21351  -1.37e+07   8:21.0
1960  21571  -1.36e+07   8:26.9
1980  21791  -1.36e+07   8:32.9
2000  22011  -1.35e+07   8:39.4
2020  22231  -1.33e+07   8:45.5
2040  22451  -1.31e+07   8:51.8
2060  22671  -1.31e+07   8:57.8
2080  22891  -1.31e+07   9:03.2
2100  23111  -1.3e+07    9:09.1
2120  23331  -1.29e+07   9:15.2
2140  23551  -1.14e+07   9:21.0
2160  23771  -1.08e+07   9:27.0
2180  23991  -1.03e+07   9:32.7
2200  24211  -9800678    9:38.4
2220  24431  -9334783    9:43.7
2240  24651  -9167805    9:49.3
2260  24871  -9125423    9:55.3
2280  25091  -8993493   10:01.1
2300  25311  -8793449   10:06.4
2320  25531  -8472528   10:11.7
2340  25751  -8367837   10:17.3
2360  25971  -8320368   10:22.9
2380  26191  -8297999   10:28.5
2400  26411  -8288614   10:33.8
2420  26631  -8271005   10:39.1
2440  26851  -8248710   10:44.3
2460  27071  -8237495   10:49.5
2480  27291  -8231867   10:55.4
2500  27511  -8230705   11:02.2
2520  27731  -8230374   11:07.3
2540  27951  -8230308   11:12.5
2560  28171  -8230262   11:17.4
2580  28391  -8230259   11:22.1
2600  28611  -8230254   11:27.0
2620  28831  -8230252   11:31.9
2640  29051  -8230252   11:36.7
2660  29271  -8230250   11:41.6
2680  29491  -8230248   11:46.5
2700  29711  -8230246   11:51.3
2720  29931  -8230246   11:57.0
2740  30151  -8230246   12:02.3
2760  30371  -8230245   12:07.7
2780  30591  -8230245   12:12.4
2800  30811  -8230245   12:17.3
2820  31031  -8230245   12:22.6
2840  31251  -8230245   12:27.4
2860  31471  -8230245   12:32.5
2880  31691  -8230245   12:37.6
2900  31911  -8230244   12:42.8
2920  32131  -8230244   12:47.8
2940  32351  -8230244   12:53.1
2960  32571  -8230244   12:58.4
2980  32791  -8230244   13:04.1
3000  33011  -8230244   13:11.3
3020  33231  -8230244   13:16.9
3040  33451  -8230244   13:22.7
3060  33671  -8230244   13:28.9
3080  33891  -8230244   13:34.7
3100  34111  -8230244   13:40.1
3120  34331  -8230244   13:45.2
3140  34551  -8230244   13:50.2
3160  34771  -8230244   13:55.3
3180  34991  -8230244   14:01.3
3200  35211  -8230244   14:06.7
3220  35431  -8230244   14:11.7
3240  35651  -8230244   14:17.0
3260  35871  -8230244   14:22.8
3280  36091  -8230244   14:28.2
3300  36311  -8230244   14:33.2
3320  36531  -8230244   14:38.2
3340  36751  -8230244   14:43.3
3360  36971  -8230244   14:48.3
3380  37191  -8230244   14:53.3
3400  37411  -8230244   14:58.3
3420  37631  -8230244   15:03.3
3440  37851  -8230244   15:08.2
3460  38071  -8230244   15:14.3
3480  38291  -8230244   15:19.4
3500  38511  -8230244   15:25.6
3520  38731  -8230244   15:30.7
3535  38885  -8230244   15:34.5
