Iter. Eval.  Best      Time m:s
0     11     -8.31e+09   0:00.6
1     22     -6.56e+09   0:00.9
2     33     -6.45e+09   0:01.3
3     44     -6.29e+09   0:01.5
20    231    -4.7e+09    0:05.6
40    451    -2.74e+09   0:11.0
60    671    -2.64e+09   0:15.9
80    891    -2.64e+09   0:20.8
100   1111   -2.54e+09   0:25.7
120   1331   -2.14e+09   0:30.5
140   1551   -1.79e+09   0:35.3
160   1771   -1.76e+09   0:40.2
180   1991   -1.74e+09   0:45.1
200   2211   -1.73e+09   0:49.7
220   2431   -1.7e+09    0:54.5
240   2651   -1.59e+09   0:59.0
260   2871   -1.27e+09   1:03.6
280   3091   -1.06e+09   1:08.8
300   3311   -9.77e+08   1:14.1
320   3531   -9.52e+08   1:19.8
340   3751   -9.43e+08   1:25.0
360   3971   -9.41e+08   1:29.6
380   4191   -9.41e+08   1:34.4
400   4411   -9.4e+08    1:39.7
420   4631   -9.39e+08   1:44.7
440   4851   -9.39e+08   1:49.6
460   5071   -9.38e+08   1:54.7
480   5291   -9.37e+08   1:59.9
500   5511   -9.29e+08   2:05.8
520   5731   -9.15e+08   2:11.6
540   5951   -8.33e+08   2:17.1
560   6171   -6.93e+08   2:23.0
580   6391   -4.26e+08   2:28.9
600   6611   -1.66e+08   2:34.1
620   6831   -1.17e+08   2:39.1
640   7051   -1.05e+08   2:44.1
660   7271   -5.62e+07   2:49.2
680   7491   -5.02e+07   2:54.3
700   7711   -4.58e+07   2:59.5
720   7931   -4.49e+07   3:05.3
740   8151   -4.46e+07   3:10.6
760   8371   -4.39e+07   3:15.8
780   8591   -4.37e+07   3:21.2
800   8811   -4.32e+07   3:26.7
820   9031   -3.82e+07   3:32.4
840   9251   -3.52e+07   3:38.1
860   9471   -3.26e+07   3:44.0
880   9691   -3.05e+07   3:49.7
900   9911   -2.89e+07   3:55.4
920   10131  -2.68e+07   4:00.7
940   10351  -2.64e+07   4:05.8
960   10571  -2.61e+07   4:11.0
980   10791  -2.52e+07   4:16.7
1000  11011  -2.47e+07   4:23.0
1020  11231  -2.4e+07    4:30.2
1040  11451  -2.28e+07   4:36.2
1060  11671  -2.19e+07   4:41.7
1080  11891  -2.1e+07    4:47.5
1100  12111  -1.93e+07   4:52.9
1120  12331  -1.74e+07   4:58.2
1140  12551  -1.62e+07   5:03.6
1160  12771  -1.47e+07   5:09.1
1180  12991  -1.28e+07   5:14.7
1200  13211  -1.1e+07    5:20.4
1220  13431  -9499600    5:26.3
1240  13651  -8535049    5:31.7
1260  13871  -8213368    5:37.0
1280  14091  -8043327    5:42.6
1300  14311  -7999670    5:48.3
1320  14531  -7961641    5:54.4
1340  14751  -7946140    6:00.7
1360  14971  -7944594    6:06.5
1380  15191  -7944399    6:12.2
1400  15411  -7944376    6:17.8
1420  15631  -7944371    6:23.3
1440  15851  -7944371    6:28.6
1460  16071  -7944371    6:34.0
1480  16291  -7944371    6:40.7
1500  16511  -7944371    6:47.2
1520  16731  -7944370    6:54.3
1540  16951  -7944370    6:59.8
1560  17171  -7944370    7:05.3
1580  17391  -7944370    7:11.1
1600  17611  -7944370    7:16.9
1620  17831  -7944370    7:22.9
1640  18051  -7944370    7:28.6
1660  18271  -7944370    7:34.1
1680  18491  -7944370    7:39.7
1700  18711  -7944370    7:45.6
1720  18931  -7944370    7:51.0
1740  19151  -7944370    7:56.8
1760  19371  -7944370    8:02.5
1780  19591  -7944370    8:08.2
1800  19811  -7944370    8:14.3
1816  19976  -7944370    8:18.5
