Iter. Eval.  Best      Time m:s
0     12     -5.01e+10   0:00.7
1     24     -4.24e+10   0:00.9
2     36     -2.98e+10   0:01.2
3     48     -1.78e+10   0:01.4
20    252    -3.42e+09   0:05.9
40    492    -3.22e+09   0:11.7
60    732    -2.85e+09   0:17.1
80    972    -2.52e+09   0:22.6
100   1212   -1.94e+09   0:28.0
120   1452   -1.93e+09   0:33.3
140   1692   -1.84e+09   0:38.5
160   1932   -1.76e+09   0:43.9
180   2172   -1.66e+09   0:49.4
200   2412   -1.57e+09   0:55.2
220   2652   -1.55e+09   1:00.5
240   2892   -1.53e+09   1:05.8
260   3132   -1.51e+09   1:11.2
280   3372   -1.5e+09    1:16.1
300   3612   -1.49e+09   1:20.8
320   3852   -1.49e+09   1:25.7
340   4092   -1.49e+09   1:30.5
360   4332   -1.49e+09   1:35.5
380   4572   -1.48e+09   1:40.4
400   4812   -1.47e+09   1:45.5
420   5052   -1.45e+09   1:50.6
440   5292   -1.44e+09   1:55.9
460   5532   -1.44e+09   2:01.1
480   5772   -1.43e+09   2:06.4
500   6012   -1.43e+09   2:12.1
520   6252   -1.43e+09   2:18.2
540   6492   -1.43e+09   2:23.7
560   6732   -1.43e+09   2:28.6
580   6972   -1.43e+09   2:33.6
600   7212   -1.43e+09   2:38.3
620   7452   -1.43e+09   2:43.1
640   7692   -1.43e+09   2:48.7
660   7932   -1.43e+09   2:53.9
680   8172   -1.43e+09   2:58.9
700   8412   -1.43e+09   3:04.2
720   8652   -1.43e+09   3:09.7
740   8892   -1.42e+09   3:15.0
760   9132   -1.42e+09   3:20.5
780   9372   -1.42e+09   3:26.1
800   9612   -1.42e+09   3:31.2
820   9852   -1.41e+09   3:36.3
840   10092  -1.41e+09   3:41.4
860   10332  -1.41e+09   3:46.5
880   10572  -1.41e+09   3:51.2
900   10812  -1.41e+09   3:56.2
920   11052  -1.41e+09   4:01.0
940   11292  -1.41e+09   4:05.7
960   11532  -1.41e+09   4:10.8
980   11772  -1.4e+09    4:15.7
1000  12012  -1.4e+09    4:22.0
1020  12252  -1.4e+09    4:27.8
1040  12492  -1.4e+09    4:32.5
1060  12732  -1.4e+09    4:37.4
1080  12972  -1.4e+09    4:41.9
1100  13212  -1.4e+09    4:46.9
1120  13452  -1.4e+09    4:52.3
1140  13692  -1.4e+09    4:57.1
1160  13932  -1.4e+09    5:01.7
1180  14172  -1.4e+09    5:06.6
1200  14412  -1.4e+09    5:11.1
1220  14652  -1.4e+09    5:15.8
1240  14892  -1.4e+09    5:20.2
1260  15132  -1.4e+09    5:24.6
1280  15372  -1.4e+09    5:29.3
1300  15612  -1.4e+09    5:34.4
1320  15852  -1.4e+09    5:38.9
1340  16092  -1.4e+09    5:43.3
1360  16332  -1.4e+09    5:48.0
1380  16572  -1.4e+09    5:53.1
1400  16812  -1.4e+09    5:57.9
1420  17052  -1.4e+09    6:02.9
1440  17292  -1.4e+09    6:07.9
1460  17532  -1.4e+09    6:12.7
