Iter. Eval.  Best      Time m:s
0     11     -3.18e+11   0:00.6
1     22     -3.13e+11   0:00.8
2     33     -2.94e+11   0:01.0
3     44     -2.85e+11   0:01.2
20    231    -4.08e+09   0:04.2
40    451    -3.52e+09   0:07.7
60    671    -2.57e+09   0:11.1
80    891    -2.25e+09   0:14.5
100   1111   -2.17e+09   0:17.8
120   1331   -2.16e+09   0:21.0
140   1551   -2.15e+09   0:24.3
160   1771   -2.14e+09   0:27.7
180   1991   -2.14e+09   0:31.0
200   2211   -2.14e+09   0:34.5
220   2431   -2.14e+09   0:37.9
240   2651   -2.14e+09   0:41.3
260   2871   -2.14e+09   0:45.0
280   3091   -2.13e+09   0:48.9
300   3311   -2.13e+09   0:52.3
320   3531   -2.09e+09   0:55.7
340   3751   -2.07e+09   0:59.3
360   3971   -2.07e+09   1:02.9
380   4191   -2.07e+09   1:06.3
400   4411   -2.07e+09   1:09.9
420   4631   -2.07e+09   1:14.2
440   4851   -2.07e+09   1:17.9
460   5071   -2.07e+09   1:21.8
480   5291   -2.07e+09   1:25.6
500   5511   -2.07e+09   1:29.7
520   5731   -2.06e+09   1:33.5
540   5951   -2.06e+09   1:36.9
560   6171   -2.06e+09   1:40.1
580   6391   -2.06e+09   1:43.5
600   6611   -2.05e+09   1:47.0
620   6831   -2.05e+09   1:50.4
640   7051   -2.05e+09   1:54.4
660   7271   -2.04e+09   1:57.9
680   7491   -2.03e+09   2:01.3
700   7711   -2.02e+09   2:04.8
720   7931   -1.99e+09   2:08.4
740   8151   -1.97e+09   2:11.9
760   8371   -1.94e+09   2:15.7
780   8591   -1.89e+09   2:19.5
800   8811   -1.86e+09   2:23.3
820   9031   -1.82e+09   2:26.7
840   9251   -1.76e+09   2:30.2
860   9471   -1.67e+09   2:33.8
880   9691   -1.62e+09   2:37.3
900   9911   -1.62e+09   2:41.0
920   10131  -1.62e+09   2:45.1
940   10351  -1.62e+09   2:48.7
960   10571  -1.62e+09   2:52.2
980   10791  -1.62e+09   2:55.6
1000  11011  -1.61e+09   3:00.0
1020  11231  -1.61e+09   3:03.9
1040  11451  -1.61e+09   3:07.3
1060  11671  -1.61e+09   3:10.7
1080  11891  -1.61e+09   3:14.3
1100  12111  -1.61e+09   3:17.6
1120  12331  -1.61e+09   3:21.8
1140  12551  -1.54e+09   3:25.5
1160  12771  -1.48e+09   3:28.8
1180  12991  -1.45e+09   3:32.3
1200  13211  -1.41e+09   3:35.7
1220  13431  -1.38e+09   3:39.1
1240  13651  -1.28e+09   3:42.6
1260  13871  -1.18e+09   3:46.1
1280  14091  -1.1e+09    3:49.8
1300  14311  -1.05e+09   3:53.9
1320  14531  -9.98e+08   3:57.9
1340  14751  -9.72e+08   4:01.4
1360  14971  -9.6e+08    4:05.0
1380  15191  -9.46e+08   4:09.1
1400  15411  -9.36e+08   4:13.3
1420  15631  -9.19e+08   4:16.8
1440  15851  -8.28e+08   4:20.3
1460  16071  -7.13e+08   4:23.7
1480  16291  -5.18e+08   4:27.2
