Iter. Eval.  Best      Time m:s
0     12     -1.79e+08   0:00.9
1     24     -1.79e+08   0:01.2
2     36     -1.79e+08   0:01.5
3     48     -1.79e+08   0:01.9
20    252    -1.78e+08   0:07.1
40    492    -1.64e+08   0:13.3
60    732    -1.14e+08   0:19.4
80    972    -1.04e+08   0:25.0
100   1212   -1.02e+08   0:31.3
120   1452   -1.02e+08   0:37.6
140   1692   -1.02e+08   0:43.9
160   1932   -1.02e+08   0:50.1
180   2172   -1.01e+08   0:56.6
200   2412   -9.82e+07   1:02.7
220   2652   -9.21e+07   1:08.8
240   2892   -8.7e+07    1:14.9
260   3132   -8.67e+07   1:20.6
280   3372   -8.65e+07   1:27.1
300   3612   -8.61e+07   1:33.4
320   3852   -8.48e+07   1:39.7
340   4092   -8.29e+07   1:45.7
360   4332   -8.24e+07   1:51.3
380   4572   -8.22e+07   1:56.8
400   4812   -8.19e+07   2:02.8
420   5052   -8.1e+07    2:09.0
440   5292   -7.95e+07   2:15.1
460   5532   -7.64e+07   2:21.2
480   5772   -7.4e+07    2:27.3
500   6012   -7.31e+07   2:36.2
520   6252   -7.25e+07   2:43.4
540   6492   -7.18e+07   2:49.9
560   6732   -7.07e+07   2:56.2
580   6972   -7.03e+07   3:02.4
600   7212   -7.02e+07   3:08.6
620   7452   -7.02e+07   3:14.7
640   7692   -7.02e+07   3:20.9
660   7932   -7.02e+07   3:26.9
680   8172   -7.01e+07   3:33.0
700   8412   -7.01e+07   3:39.2
720   8652   -7.01e+07   3:45.2
740   8892   -7e+07      3:51.3
760   9132   -7e+07      3:57.2
780   9372   -7e+07      4:03.3
800   9612   -7e+07      4:09.0
820   9852   -7e+07      4:14.9
840   10092  -7e+07      4:21.0
860   10332  -7e+07      4:27.4
880   10572  -7e+07      4:34.0
900   10812  -7e+07      4:40.4
920   11052  -7e+07      4:46.5
940   11292  -7e+07      4:53.2
960   11532  -7e+07      5:01.1
980   11772  -7e+07      5:07.5
1000  12012  -7e+07      5:15.3
1020  12252  -7e+07      5:23.0
1040  12492  -7e+07      5:29.0
1060  12732  -7e+07      5:35.1
1080  12972  -7e+07      5:41.2
1100  13212  -7e+07      5:47.4
1120  13452  -7e+07      5:53.5
1140  13692  -7e+07      5:59.2
1160  13932  -7e+07      6:04.5
1180  14172  -7e+07      6:09.9
1200  14412  -7e+07      6:16.0
1220  14652  -7e+07      6:21.8
1227  14724  -7e+07      6:23.5
