Iter. Eval.  Best      Time m:s
0     11     -7.75e+09   0:00.7
1     22     -7.75e+09   0:01.0
2     33     -7.75e+09   0:01.2
3     44     -7.75e+09   0:01.4
20    231    -7.75e+09   0:05.3
40    451    -7.75e+09   0:09.8
60    671    -7.75e+09   0:14.3
80    891    -7.75e+09   0:18.5
100   1111   -7.75e+09   0:22.8
120   1331   -7.7e+09    0:26.9
140   1551   -7.29e+09   0:31.1
160   1771   -6.96e+09   0:35.5
180   1991   -6.53e+09   0:39.9
200   2211   -6.37e+09   0:44.4
220   2431   -6.37e+09   0:48.7
240   2651   -6.31e+09   0:53.3
260   2871   -6.17e+09   0:58.1
280   3091   -6.04e+09   1:02.7
300   3311   -4.94e+09   1:07.7
320   3531   -3.57e+09   1:12.6
340   3751   -1.14e+09   1:17.6
360   3971   -9.83e+08   1:22.5
380   4191   -9.69e+08   1:27.9
400   4411   -9.36e+08   1:33.6
420   4631   -8.61e+08   1:39.8
440   4851   -6.87e+08   1:45.1
460   5071   -5.95e+08   1:49.8
480   5291   -5.05e+08   1:54.5
500   5511   -2.6e+08    2:00.3
520   5731   -1.72e+08   2:05.9
540   5951   -1.04e+08   2:10.9
560   6171   -8.2e+07    2:15.9
580   6391   -7.38e+07   2:20.8
600   6611   -6.55e+07   2:25.6
620   6831   -6.16e+07   2:30.4
640   7051   -6.02e+07   2:35.3
660   7271   -5.97e+07   2:40.5
680   7491   -5.9e+07    2:45.5
700   7711   -5.8e+07    2:50.5
720   7931   -2.89e+07   2:55.4
740   8151   -1.47e+07   3:00.4
760   8371   -1.37e+07   3:05.8
780   8591   -1.35e+07   3:11.5
800   8811   -1.21e+07   3:17.1
820   9031   -1.18e+07   3:22.8
840   9251   -1.18e+07   3:28.5
860   9471   -1.17e+07   3:34.8
880   9691   -1.17e+07   3:41.3
900   9911   -1.17e+07   3:48.1
920   10131  -1.17e+07   3:54.5
940   10351  -1.17e+07   4:00.2
960   10571  -1.17e+07   4:05.8
980   10791  -1.17e+07   4:11.4
1000  11011  -1.17e+07   4:17.7
1020  11231  -1.17e+07   4:24.0
1040  11451  -1.17e+07   4:29.3
1060  11671  -1.17e+07   4:34.6
1080  11891  -1.17e+07   4:39.8
1100  12111  -1.17e+07   4:45.3
1120  12331  -1.17e+07   4:50.6
1140  12551  -1.17e+07   4:56.0
1160  12771  -1.17e+07   5:01.2
1180  12991  -1.17e+07   5:06.7
1200  13211  -1.17e+07   5:12.0
1220  13431  -1.17e+07   5:17.5
1240  13651  -1.17e+07   5:22.8
1260  13871  -1.17e+07   5:27.9
1280  14091  -1.17e+07   5:33.5
1300  14311  -1.17e+07   5:39.6
1320  14531  -1.17e+07   5:45.6
1340  14751  -1.17e+07   5:51.4
1360  14971  -1.17e+07   5:57.2
1366  15026  -1.17e+07   5:58.8
