Iter. Eval.  Best      Time m:s
0     11     -7.75e+09   0:00.5
1     22     -7.75e+09   0:00.7
2     33     -7.74e+09   0:00.9
3     44     -7.74e+09   0:01.1
20    231    -7.36e+09   0:03.9
40    451    -7.35e+09   0:07.2
60    671    -7.34e+09   0:10.5
80    891    -7.29e+09   0:13.7
100   1111   -7.28e+09   0:16.9
120   1331   -7.28e+09   0:19.0
140   1551   -7.28e+09   0:21.0
160   1771   -7.28e+09   0:23.0
180   1991   -7.27e+09   0:24.8
200   2211   -7.26e+09   0:26.8
220   2431   -7.19e+09   0:28.8
240   2651   -5.55e+09   0:30.7
260   2871   -1.93e+09   0:32.6
280   3091   -1.56e+09   0:35.0
300   3311   -1.54e+09   0:37.0
320   3531   -1.53e+09   0:38.9
340   3751   -1.48e+09   0:40.8
360   3971   -1.47e+09   0:42.7
380   4191   -1.43e+09   0:44.6
400   4411   -1.38e+09   0:46.7
420   4631   -1.28e+09   0:48.6
440   4851   -1.17e+09   0:50.5
460   5071   -1.16e+09   0:52.4
480   5291   -1.15e+09   0:54.3
500   5511   -1.15e+09   0:58.3
520   5731   -1.15e+09   1:01.8
540   5951   -1.15e+09   1:04.3
560   6171   -1.15e+09   1:06.4
580   6391   -1.15e+09   1:08.4
600   6611   -1.15e+09   1:10.6
620   6831   -1.14e+09   1:12.7
640   7051   -1.14e+09   1:14.7
660   7271   -1.14e+09   1:16.7
680   7491   -1.14e+09   1:18.7
700   7711   -1.14e+09   1:20.7
720   7931   -1.14e+09   1:24.4
740   8151   -1.14e+09   1:28.1
760   8371   -1.14e+09   1:31.3
780   8591   -1.14e+09   1:34.3
800   8811   -1.14e+09   1:37.4
820   9031   -1.14e+09   1:40.5
840   9251   -1.13e+09   1:43.5
860   9471   -1.13e+09   1:46.7
880   9691   -1.13e+09   1:49.6
900   9911   -1.12e+09   1:52.8
920   10131  -1.08e+09   1:56.0
940   10351  -9.55e+08   1:59.2
960   10571  -9.04e+08   2:02.5
980   10791  -8.35e+08   2:05.7
1000  11011  -7.84e+08   2:09.5
1020  11231  -7.57e+08   2:13.5
1040  11451  -7.21e+08   2:16.6
1060  11671  -6.88e+08   2:19.8
1080  11891  -6.77e+08   2:23.0
1100  12111  -6.61e+08   2:25.9
1120  12331  -6.41e+08   2:29.9
1140  12551  -6.01e+08   2:33.6
1160  12771  -4.91e+08   2:36.5
1180  12991  -4.11e+08   2:39.5
1200  13211  -2.87e+08   2:42.5
1220  13431  -2.64e+08   2:45.6
1240  13651  -1.96e+08   2:49.0
1260  13871  -1.06e+08   2:52.6
1280  14091  -6.73e+07   2:55.9
1300  14311  -5.18e+07   2:58.3
1320  14531  -4.57e+07   3:00.8
1340  14751  -4.27e+07   3:03.3
1360  14971  -3.98e+07   3:05.6
1380  15191  -3.75e+07   3:08.0
1400  15411  -3.52e+07   3:10.3
1420  15631  -3.45e+07   3:12.5
1440  15851  -3.39e+07   3:14.9
1460  16071  -3.36e+07   3:17.1
1480  16291  -3.34e+07   3:19.7
1500  16511  -3.3e+07    3:23.7
1520  16731  -3.18e+07   3:27.0
1540  16951  -3.06e+07   3:30.0
1560  17171  -2.99e+07   3:32.7
1580  17391  -2.88e+07   3:35.6
1600  17611  -2.79e+07   3:38.6
1620  17831  -2.72e+07   3:41.8
1640  18051  -2.67e+07   3:44.8
1660  18271  -2.61e+07   3:48.0
1680  18491  -2.6e+07    3:51.0
1700  18711  -2.58e+07   3:54.2
1720  18931  -2.55e+07   3:57.2
1740  19151  -2.5e+07    4:00.5
1760  19371  -2.43e+07   4:04.3
1780  19591  -2.41e+07   4:07.7
1800  19811  -2.34e+07   4:10.7
1820  20031  -2.24e+07   4:13.6
1840  20251  -2.17e+07   4:16.9
1860  20471  -2.04e+07   4:20.4
1880  20691  -1.89e+07   4:24.2
1900  20911  -1.73e+07   4:27.5
1920  21131  -1.58e+07   4:30.6
1940  21351  -1.43e+07   4:33.8
1960  21571  -1.33e+07   4:36.2
1980  21791  -1.29e+07   4:38.7
2000  22011  -1.26e+07   4:42.5
2020  22231  -1.23e+07   4:46.0
2040  22451  -1.22e+07   4:49.1
2060  22671  -1.19e+07   4:51.8
2080  22891  -1.13e+07   4:54.2
2100  23111  -1.1e+07    4:56.7
2120  23331  -1.07e+07   4:59.4
2140  23551  -9305876    5:02.1
2160  23771  -8433124    5:05.0
2180  23991  -7888560    5:07.2
2200  24211  -7765547    5:10.1
2220  24431  -7711006    5:12.6
2240  24651  -7682181    5:15.5
2260  24871  -7678424    5:18.1
2280  25091  -7677144    5:20.5
2300  25311  -7676958    5:22.9
2320  25531  -7676947    5:25.4
2340  25751  -7676944    5:27.7
2360  25971  -7676943    5:30.2
2380  26191  -7676943    5:32.7
2400  26411  -7676943    5:35.3
2420  26631  -7676943    5:39.4
2440  26851  -7676943    5:42.8
2460  27071  -7676943    5:46.2
2480  27291  -7676943    5:49.2
2500  27511  -7676942    5:53.8
2520  27731  -7676942    5:58.1
2540  27951  -7676942    6:01.5
2560  28171  -7676942    6:04.8
2580  28391  -7676942    6:08.4
2600  28611  -7676942    6:11.9
2620  28831  -7676942    6:14.9
2640  29051  -7676942    6:17.8
2660  29271  -7676942    6:20.3
2680  29491  -7676942    6:22.7
2700  29711  -7676942    6:25.0
2720  29931  -7676942    6:27.7
2740  30151  -7676942    6:30.1
2760  30371  -7676942    6:32.6
2780  30591  -7676942    6:35.0
2800  30811  -7676942    6:37.3
2820  31031  -7676942    6:39.8
2840  31251  -7676942    6:42.0
2842  31262  -7676942    6:42.1
