Iter. Eval.  Best      Time m:s
0     12     -8.01e+09   0:00.6
1     24     -7.87e+09   0:00.9
2     36     -7.68e+09   0:01.2
3     48     -7.66e+09   0:01.5
20    252    -5.87e+09   0:05.6
40    492    -5.77e+09   0:10.6
60    732    -5.56e+09   0:15.3
80    972    -5.48e+09   0:20.1
100   1212   -5.45e+09   0:25.1
120   1452   -5.34e+09   0:29.8
140   1692   -5.3e+09    0:35.0
160   1932   -5.27e+09   0:39.9
180   2172   -5.24e+09   0:45.1
200   2412   -5.18e+09   0:49.8
220   2652   -4.92e+09   0:54.7
240   2892   -4.45e+09   0:59.7
260   3132   -3.41e+09   1:05.2
280   3372   -2.66e+09   1:09.9
300   3612   -2.59e+09   1:15.0
320   3852   -2.51e+09   1:20.5
340   4092   -2.45e+09   1:25.8
360   4332   -2.4e+09    1:30.7
380   4572   -2.27e+09   1:35.2
400   4812   -2.2e+09    1:39.6
420   5052   -2.14e+09   1:44.2
440   5292   -2.08e+09   1:48.8
460   5532   -1.94e+09   1:53.8
480   5772   -1.88e+09   1:58.6
500   6012   -1.86e+09   2:04.5
520   6252   -1.85e+09   2:10.7
540   6492   -1.84e+09   2:15.9
560   6732   -1.81e+09   2:20.7
580   6972   -1.72e+09   2:25.5
600   7212   -1.54e+09   2:30.0
620   7452   -1.39e+09   2:34.6
640   7692   -1.29e+09   2:39.3
660   7932   -1.24e+09   2:43.9
680   8172   -1.21e+09   2:48.5
700   8412   -1.17e+09   2:53.2
720   8652   -1.15e+09   2:58.0
740   8892   -1.13e+09   3:02.7
760   9132   -1.12e+09   3:08.8
780   9372   -1.11e+09   3:14.2
800   9612   -1.08e+09   3:19.1
820   9852   -9.92e+08   3:23.9
840   10092  -7.81e+08   3:28.9
860   10332  -7.14e+08   3:33.7
880   10572  -6.14e+08   3:38.7
900   10812  -5.08e+08   3:43.3
920   11052  -3.57e+08   3:48.3
940   11292  -2.17e+08   3:53.0
960   11532  -1.93e+08   3:57.8
980   11772  -1.73e+08   4:03.3
1000  12012  -1.64e+08   4:09.0
