Iter. Eval.  Best      Time m:s
0     12     -1.11e+10   0:00.7
1     24     -1.11e+10   0:01.1
2     36     -1.11e+10   0:01.3
3     48     -1.11e+10   0:01.5
20    252    -1.08e+10   0:05.4
40    492    -1.02e+10   0:10.1
60    732    -1e+10      0:15.0
80    972    -9.84e+09   0:19.8
100   1212   -9.72e+09   0:24.6
120   1452   -9.3e+09    0:29.4
140   1692   -9.23e+09   0:34.9
160   1932   -9.13e+09   0:40.7
180   2172   -9.12e+09   0:46.3
200   2412   -9.1e+09    0:51.7
220   2652   -9.1e+09    0:57.0
240   2892   -9.09e+09   1:02.1
260   3132   -9.09e+09   1:08.4
280   3372   -9.09e+09   1:14.7
300   3612   -9.08e+09   1:20.0
320   3852   -9.08e+09   1:25.5
340   4092   -9.08e+09   1:30.7
360   4332   -9.07e+09   1:35.8
380   4572   -9.05e+09   1:40.9
400   4812   -8.89e+09   1:46.1
420   5052   -8.32e+09   1:51.0
440   5292   -5.95e+09   1:55.9
460   5532   -4.74e+09   2:01.0
480   5772   -4.41e+09   2:05.7
500   6012   -4.15e+09   2:12.2
520   6252   -3.97e+09   2:17.8
540   6492   -3.8e+09    2:23.1
560   6732   -3.72e+09   2:28.3
580   6972   -3.66e+09   2:33.4
600   7212   -3.61e+09   2:38.1
620   7452   -3.58e+09   2:43.1
640   7692   -3.54e+09   2:47.8
660   7932   -3.37e+09   2:52.2
680   8172   -3.14e+09   2:56.9
700   8412   -3.09e+09   3:01.5
720   8652   -3.08e+09   3:06.0
740   8892   -3.06e+09   3:11.5
760   9132   -3.05e+09   3:18.2
780   9372   -3.03e+09   3:24.1
800   9612   -3.02e+09   3:29.1
820   9852   -3.01e+09   3:34.2
840   10092  -2.99e+09   3:39.7
860   10332  -2.98e+09   3:44.2
880   10572  -2.96e+09   3:49.1
900   10812  -2.92e+09   3:54.1
920   11052  -2.9e+09    3:59.2
940   11292  -2.84e+09   4:04.0
960   11532  -2.77e+09   4:08.8
980   11772  -2.55e+09   4:13.8
1000  12012  -2.32e+09   4:20.4
1020  12252  -2.18e+09   4:26.4
1040  12492  -2.08e+09   4:31.4
1060  12732  -2.02e+09   4:36.5
1080  12972  -1.99e+09   4:41.7
1100  13212  -1.95e+09   4:46.9
1120  13452  -1.93e+09   4:51.9
1140  13692  -1.91e+09   4:56.6
1160  13932  -1.91e+09   5:01.3
1180  14172  -1.91e+09   5:06.4
1200  14412  -1.9e+09    5:11.3
1220  14652  -1.89e+09   5:16.4
1240  14892  -1.89e+09   5:21.4
1260  15132  -1.88e+09   5:27.0
1280  15372  -1.87e+09   5:32.4
1300  15612  -1.86e+09   5:37.9
1320  15852  -1.86e+09   5:42.8
1340  16092  -1.85e+09   5:47.9
1360  16332  -1.85e+09   5:52.5
1380  16572  -1.84e+09   5:57.4
1400  16812  -1.84e+09   6:02.6
1420  17052  -1.83e+09   6:07.6
1440  17292  -1.82e+09   6:12.6
1460  17532  -1.76e+09   6:17.6
1480  17772  -1.69e+09   6:23.1
1500  18012  -1.62e+09   6:29.5
1520  18252  -1.58e+09   6:35.3
1540  18492  -1.57e+09   6:40.9
1560  18732  -1.57e+09   6:46.4
1580  18972  -1.55e+09   6:51.7
1600  19212  -1.48e+09   6:56.6
1620  19452  -1.43e+09   7:02.0
1640  19692  -1.39e+09   7:07.5
1660  19932  -1.37e+09   7:13.1
1680  20172  -1.36e+09   7:18.4
1700  20412  -1.35e+09   7:23.6
1720  20652  -1.34e+09   7:29.0
1740  20892  -1.33e+09   7:34.3
1760  21132  -1.33e+09   7:39.4
1780  21372  -1.32e+09   7:44.7
1800  21612  -1.31e+09   7:50.3
1820  21852  -1.31e+09   7:56.1
1840  22092  -1.14e+09   8:01.9
1860  22332  -7.71e+08   8:09.4
1880  22572  -5.8e+08    8:17.7
1900  22812  -5.62e+08   8:26.5
1920  23052  -5.31e+08   8:35.0
1940  23292  -4.73e+08   8:44.2
1960  23532  -2.63e+08   8:52.4
1980  23772  -1.63e+08   8:59.8
2000  24012  -1.33e+08   9:08.6
