Iter. Eval.  Best      Time m:s
0     12     -7.65e+09   0:00.6
1     24     -7.65e+09   0:00.8
2     36     -7.64e+09   0:01.0
3     48     -7.64e+09   0:01.2
20    252    -7.42e+09   0:04.3
40    492    -7.37e+09   0:07.9
60    732    -7.37e+09   0:11.8
80    972    -7.37e+09   0:15.5
100   1212   -7.37e+09   0:19.3
120   1452   -7.36e+09   0:23.8
140   1692   -7.36e+09   0:28.2
160   1932   -7.34e+09   0:31.9
180   2172   -7.33e+09   0:35.5
200   2412   -7.32e+09   0:39.0
220   2652   -7.32e+09   0:42.6
240   2892   -7.32e+09   0:46.2
260   3132   -7.31e+09   0:49.6
280   3372   -7.31e+09   0:53.2
300   3612   -7.31e+09   0:56.7
320   3852   -7.3e+09    1:00.2
340   4092   -7.29e+09   1:04.2
360   4332   -7.28e+09   1:08.2
380   4572   -7.25e+09   1:11.9
400   4812   -7.19e+09   1:15.3
420   5052   -7.15e+09   1:18.7
440   5292   -7.12e+09   1:22.2
460   5532   -7.11e+09   1:25.7
480   5772   -7.1e+09    1:29.1
500   6012   -7.09e+09   1:33.5
520   6252   -7.06e+09   1:37.6
540   6492   -6.92e+09   1:41.3
560   6732   -4.38e+09   1:44.9
580   6972   -2.14e+09   1:48.9
600   7212   -1.33e+09   1:52.9
620   7452   -1.19e+09   1:57.8
640   7692   -1.17e+09   2:02.0
660   7932   -1.16e+09   2:05.9
680   8172   -1.16e+09   2:09.8
700   8412   -1.15e+09   2:13.5
720   8652   -1.15e+09   2:17.3
740   8892   -1.14e+09   2:20.9
760   9132   -1.14e+09   2:24.6
780   9372   -1.14e+09   2:28.3
800   9612   -1.14e+09   2:32.1
820   9852   -1.14e+09   2:35.8
840   10092  -1.14e+09   2:39.4
860   10332  -1.14e+09   2:43.6
880   10572  -1.14e+09   2:47.8
900   10812  -1.14e+09   2:51.5
920   11052  -1.14e+09   2:55.2
940   11292  -1.14e+09   2:58.8
960   11532  -1.14e+09   3:02.4
980   11772  -1.14e+09   3:06.0
1000  12012  -1.14e+09   3:10.6
1020  12252  -1.14e+09   3:15.3
1040  12492  -1.14e+09   3:19.3
1060  12732  -1.13e+09   3:23.4
1080  12972  -1.13e+09   3:28.1
1100  13212  -1.13e+09   3:32.9
1120  13452  -1.13e+09   3:36.9
1140  13692  -1.13e+09   3:40.8
1160  13932  -1.13e+09   3:44.6
1180  14172  -1.13e+09   3:48.3
1200  14412  -1.13e+09   3:52.0
1220  14652  -1.13e+09   3:55.7
1240  14892  -1.13e+09   3:59.3
1260  15132  -1.12e+09   4:03.0
1280  15372  -1.12e+09   4:06.5
1300  15612  -1.12e+09   4:10.1
1320  15852  -1.12e+09   4:13.7
1340  16092  -1.12e+09   4:17.3
1360  16332  -1.12e+09   4:20.8
1380  16572  -1.12e+09   4:24.5
1400  16812  -1.12e+09   4:28.1
1420  17052  -1.12e+09   4:31.7
1440  17292  -1.12e+09   4:35.3
1460  17532  -1.12e+09   4:38.9
1480  17772  -1.12e+09   4:42.5
1500  18012  -1.12e+09   4:46.6
1520  18252  -1.12e+09   4:50.9
1540  18492  -1.11e+09   4:54.7
1560  18732  -1.09e+09   4:58.9
1580  18972  -1.09e+09   5:03.4
1600  19212  -1.09e+09   5:07.4
1620  19452  -1.09e+09   5:11.1
1640  19692  -1.08e+09   5:15.2
1660  19932  -1.08e+09   5:19.3
1680  20172  -1.08e+09   5:23.5
1700  20412  -1.07e+09   5:27.2
1720  20652  -1.06e+09   5:30.8
1740  20892  -1.06e+09   5:34.3
1760  21132  -1.05e+09   5:37.8
1780  21372  -1.05e+09   5:41.4
1800  21612  -1.05e+09   5:44.6
1820  21852  -1.05e+09   5:48.0
1840  22092  -1.05e+09   5:51.4
1860  22332  -1.05e+09   5:54.9
1880  22572  -1.05e+09   5:58.4
1900  22812  -1.05e+09   6:01.8
1920  23052  -1.05e+09   6:05.2
1940  23292  -1.05e+09   6:08.6
1960  23532  -1.05e+09   6:12.0
1980  23772  -1.02e+09   6:15.5
2000  24012  -9.97e+08   6:20.0
2020  24252  -9.24e+08   6:24.6
2040  24492  -8.29e+08   6:28.3
2060  24732  -7.63e+08   6:32.0
2080  24972  -6.35e+08   6:35.8
2100  25212  -6.07e+08   6:39.4
2120  25452  -5.55e+08   6:43.1
2140  25692  -4.89e+08   6:47.5
2160  25932  -4.35e+08   6:50.8
2180  26172  -3.53e+08   6:53.9
2200  26412  -2.48e+08   6:57.4
2220  26652  -1.39e+08   7:01.1
2240  26892  -1.03e+08   7:04.7
2260  27132  -9.06e+07   7:08.3
2280  27372  -8.15e+07   7:11.6
2300  27612  -6.24e+07   7:15.1
2320  27852  -3.93e+07   7:18.7
2340  28092  -2.65e+07   7:22.3
2360  28332  -2.28e+07   7:25.9
2380  28572  -2.12e+07   7:29.5
2400  28812  -2.06e+07   7:33.5
2420  29052  -2.01e+07   7:37.0
2440  29292  -1.97e+07   7:40.3
2460  29532  -1.92e+07   7:43.8
2480  29772  -1.83e+07   7:47.2
2500  30012  -1.77e+07   7:51.4
2520  30252  -1.71e+07   7:55.1
2540  30492  -1.68e+07   7:58.8
2560  30732  -1.64e+07   8:02.1
2580  30972  -1.6e+07    8:05.6
2600  31212  -1.57e+07   8:09.0
2620  31452  -1.53e+07   8:12.7
2640  31692  -1.5e+07    8:16.5
2660  31932  -1.48e+07   8:20.4
2680  32172  -1.46e+07   8:24.1
2700  32412  -1.43e+07   8:27.8
2720  32652  -1.4e+07    8:31.5
2740  32892  -1.36e+07   8:35.3
2760  33132  -1.34e+07   8:38.9
2780  33372  -1.3e+07    8:42.7
2800  33612  -1.27e+07   8:46.7
2820  33852  -1.23e+07   8:50.9
2840  34092  -1.2e+07    8:54.5
2860  34332  -1.16e+07   8:58.0
2880  34572  -1.13e+07   9:01.7
2900  34812  -1.08e+07   9:05.3
2920  35052  -1.02e+07   9:08.8
2940  35292  -9798890    9:12.3
2960  35532  -9358035    9:16.0
2980  35772  -8940270    9:19.9
3000  36012  -8635351    9:24.4
3020  36252  -8437592    9:28.5
3040  36492  -8335255    9:32.2
3060  36732  -8245973    9:35.8
3080  36972  -8172723    9:39.5
3100  37212  -8097162    9:43.5
3120  37452  -8004910    9:47.9
3140  37692  -7977962    9:52.0
3160  37932  -7929582    9:55.9
3180  38172  -7888106    9:59.8
3200  38412  -7873696   10:04.0
3220  38652  -7859516   10:08.3
3240  38892  -7849461   10:12.0
3260  39132  -7833094   10:15.9
3280  39372  -7809553   10:19.4
3300  39612  -7763828   10:23.2
3320  39852  -7718534   10:26.7
3340  40092  -7670280   10:30.4
3360  40332  -7655787   10:34.1
3380  40572  -7637081   10:37.9
3400  40812  -7616769   10:41.6
3420  41052  -7574506   10:45.2
3440  41292  -7561515   10:48.8
3460  41532  -7545338   10:52.5
3480  41772  -7536347   10:56.3
3500  42012  -7526802   11:00.7
3520  42252  -7515929   11:04.8
3540  42492  -7506515   11:08.4
3560  42732  -7500034   11:12.0
3580  42972  -7493319   11:16.7
3600  43212  -7488446   11:21.1
3620  43452  -7482059   11:24.7
3640  43692  -7473494   11:28.2
3660  43932  -7460729   11:31.8
3680  44172  -7451844   11:35.3
3700  44412  -7441919   11:38.9
3720  44652  -7431770   11:42.7
3740  44892  -7420780   11:46.2
3760  45132  -7412860   11:49.8
3780  45372  -7401583   11:53.6
3800  45612  -7392541   11:57.5
3820  45852  -7385246   12:01.2
3840  46092  -7375952   12:05.0
3860  46332  -7371069   12:09.0
3880  46572  -7365029   12:12.8
3900  46812  -7359557   12:16.4
3920  47052  -7356280   12:20.1
3940  47292  -7354670   12:23.8
3960  47532  -7353518   12:27.6
3980  47772  -7353518   12:31.3
4000  48012  -7353499   12:35.4
4020  48252  -7353469   12:39.6
4040  48492  -7353462   12:43.1
4060  48732  -7353459   12:47.1
4080  48972  -7353459   12:51.1
4100  49212  -7353458   12:54.8
4120  49452  -7353458   12:58.3
4140  49692  -7353458   13:01.8
4160  49932  -7353458   13:05.6
4180  50172  -7353458   13:09.2
