Iter. Eval.  Best      Time m:s
0     12     -2.92e+13   0:00.7
1     24     -2.92e+13   0:01.0
2     36     -2.92e+13   0:01.3
3     48     -2.92e+13   0:01.6
20    252    -2.67e+13   0:06.6
40    492    -1.16e+13   0:11.5
60    732    -6.71e+12   0:16.2
80    972    -9.4e+11    0:21.1
100   1212   -7.41e+11   0:24.8
120   1452   -3.57e+11   0:29.4
140   1692   -5.26e+09   0:34.3
160   1932   -4.76e+09   0:39.0
180   2172   -4.5e+09    0:43.7
200   2412   -4.37e+09   0:48.2
220   2652   -4.32e+09   0:52.6
240   2892   -4.28e+09   0:57.1
260   3132   -3.66e+09   1:01.8
280   3372   -3.6e+09    1:06.3
300   3612   -3.5e+09    1:10.8
320   3852   -3.5e+09    1:15.3
340   4092   -3.5e+09    1:19.7
360   4332   -3.49e+09   1:24.3
380   4572   -3.49e+09   1:28.9
400   4812   -3.49e+09   1:34.7
420   5052   -3.49e+09   1:40.3
440   5292   -3.49e+09   1:45.2
460   5532   -3.49e+09   1:49.9
480   5772   -3.49e+09   1:54.3
500   6012   -3.49e+09   2:00.3
520   6252   -3.49e+09   2:05.8
540   6492   -3.49e+09   2:10.9
560   6732   -3.49e+09   2:15.9
580   6972   -3.49e+09   2:20.6
600   7212   -3.49e+09   2:25.5
620   7452   -3.49e+09   2:30.4
640   7692   -3.49e+09   2:34.9
660   7932   -3.48e+09   2:39.5
680   8172   -3.48e+09   2:44.6
700   8412   -3.48e+09   2:49.2
720   8652   -3.48e+09   2:54.0
740   8892   -3.48e+09   2:58.5
760   9132   -3.46e+09   3:03.0
780   9372   -3.4e+09    3:07.6
800   9612   -3.4e+09    3:12.5
820   9852   -3.4e+09    3:17.4
840   10092  -3.4e+09    3:22.6
860   10332  -3.39e+09   3:27.8
880   10572  -3.36e+09   3:32.5
900   10812  -3.35e+09   3:38.3
920   11052  -3.35e+09   3:44.5
940   11292  -3.34e+09   3:49.7
960   11532  -3.33e+09   3:55.0
980   11772  -3.32e+09   3:59.9
1000  12012  -3.32e+09   4:05.7
1020  12252  -3.32e+09   4:11.4
1040  12492  -3.31e+09   4:16.5
1060  12732  -3.31e+09   4:21.5
1080  12972  -3.31e+09   4:26.4
1100  13212  -3.31e+09   4:31.2
1120  13452  -3.3e+09    4:35.8
1140  13692  -3.28e+09   4:40.2
1160  13932  -3.27e+09   4:44.8
1180  14172  -3.26e+09   4:49.3
1200  14412  -3.24e+09   4:54.0
1220  14652  -3.23e+09   4:59.0
1240  14892  -3.23e+09   5:03.8
1260  15132  -3.22e+09   5:08.5
1280  15372  -3.21e+09   5:13.6
1300  15612  -3.2e+09    5:18.7
1320  15852  -3.2e+09    5:23.9
1340  16092  -3.19e+09   5:29.3
1360  16332  -3.19e+09   5:34.1
1380  16572  -3.19e+09   5:39.0
1400  16812  -3.18e+09   5:44.7
1420  17052  -3.18e+09   5:50.3
1440  17292  -3.09e+09   5:56.1
1460  17532  -2.89e+09   6:01.1
1480  17772  -2.36e+09   6:06.9
1500  18012  -2.24e+09   6:12.7
1520  18252  -2.12e+09   6:18.5
1540  18492  -2.04e+09   6:24.2
1560  18732  -2.01e+09   6:29.3
1580  18972  -1.97e+09   6:34.5
1600  19212  -1.88e+09   6:39.8
1620  19452  -1.87e+09   6:45.2
1640  19692  -1.86e+09   6:51.2
1660  19932  -1.86e+09   6:57.1
1680  20172  -1.86e+09   7:03.0
1700  20412  -1.86e+09   7:08.8
1720  20652  -1.85e+09   7:14.5
1740  20892  -1.82e+09   7:19.6
1760  21132  -1.81e+09   7:24.4
1780  21372  -1.81e+09   7:29.2
1800  21612  -1.8e+09    7:34.2
1820  21852  -1.79e+09   7:39.0
1840  22092  -1.78e+09   7:44.2
1860  22332  -1.73e+09   7:49.1
1880  22572  -1.66e+09   7:53.7
1900  22812  -1.6e+09    7:59.0
1920  23052  -1.42e+09   8:04.9
1940  23292  -7.82e+08   8:10.6
1960  23532  -6.16e+08   8:15.8
1980  23772  -5.29e+08   8:21.8
2000  24012  -4.34e+08   8:28.2
2020  24252  -3.73e+08   8:34.5
2040  24492  -2.56e+08   8:40.2
2060  24732  -2.02e+08   8:45.2
2080  24972  -1.8e+08    8:50.1
2100  25212  -1.24e+08   8:55.1
2120  25452  -1.07e+08   9:00.4
2140  25692  -9.69e+07   9:05.9
2160  25932  -8.89e+07   9:11.1
2180  26172  -8.66e+07   9:16.2
2200  26412  -8.44e+07   9:21.5
2220  26652  -8.23e+07   9:26.1
2240  26892  -8.12e+07   9:31.1
2260  27132  -7.95e+07   9:35.9
2280  27372  -7.81e+07   9:40.9
2300  27612  -7.66e+07   9:46.2
2320  27852  -7.57e+07   9:51.0
2340  28092  -7.51e+07   9:55.8
2360  28332  -7.48e+07  10:00.4
2380  28572  -7.48e+07  10:05.2
2400  28812  -7.47e+07  10:10.1
2420  29052  -7.47e+07  10:16.3
2440  29292  -7.46e+07  10:22.1
2460  29532  -7.31e+07  10:27.7
2480  29772  -7.21e+07  10:33.1
2500  30012  -7.17e+07  10:39.3
2520  30252  -7.13e+07  10:45.7
2540  30492  -7.1e+07   10:51.6
2560  30732  -7.08e+07  10:56.6
2580  30972  -7.07e+07  11:01.2
2600  31212  -7.07e+07  11:05.8
2620  31452  -7.07e+07  11:10.8
2640  31692  -7.07e+07  11:15.4
2660  31932  -7.06e+07  11:20.2
2680  32172  -7.06e+07  11:24.7
2700  32412  -7.05e+07  11:29.4
2720  32652  -7.04e+07  11:34.0
2740  32892  -7.03e+07  11:38.7
2760  33132  -7.03e+07  11:43.4
2780  33372  -7.03e+07  11:48.7
2800  33612  -7.03e+07  11:53.6
2820  33852  -7.03e+07  11:58.6
2840  34092  -7.03e+07  12:03.9
2860  34332  -7.03e+07  12:08.8
2880  34572  -7.03e+07  12:14.4
2900  34812  -7.03e+07  12:20.0
2920  35052  -7.03e+07  12:25.7
2940  35292  -7.03e+07  12:31.8
2960  35532  -7.03e+07  12:37.1
2980  35772  -7.02e+07  12:42.8
3000  36012  -7.02e+07  12:48.7
3020  36252  -7.01e+07  12:55.2
3040  36492  -7e+07     13:01.1
3060  36732  -7e+07     13:07.1
3080  36972  -6.99e+07  13:12.7
3100  37212  -6.99e+07  13:17.8
3120  37452  -6.99e+07  13:23.6
3140  37692  -6.98e+07  13:29.3
3160  37932  -6.98e+07  13:34.5
3180  38172  -6.98e+07  13:39.0
3200  38412  -6.98e+07  13:43.8
3220  38652  -6.98e+07  13:49.2
3240  38892  -6.98e+07  13:54.3
3260  39132  -6.98e+07  13:59.4
3280  39372  -6.98e+07  14:04.7
3300  39612  -6.98e+07  14:10.1
3320  39852  -6.98e+07  14:15.6
3340  40092  -6.98e+07  14:21.3
3360  40332  -6.98e+07  14:27.4
3380  40572  -6.98e+07  14:33.5
3400  40812  -6.98e+07  14:38.9
3420  41052  -6.98e+07  14:44.8
3440  41292  -6.98e+07  14:50.1
3460  41532  -6.98e+07  14:55.9
3480  41772  -6.98e+07  15:01.3
3500  42012  -6.98e+07  15:06.8
3520  42252  -6.98e+07  15:13.2
3540  42492  -6.98e+07  15:19.0
3560  42732  -6.98e+07  15:24.3
3580  42972  -6.98e+07  15:28.9
3600  43212  -6.98e+07  15:33.9
3620  43452  -6.98e+07  15:39.5
3640  43692  -6.98e+07  15:44.3
3660  43932  -6.98e+07  15:49.0
3680  44172  -6.98e+07  15:54.1
3700  44412  -6.98e+07  15:59.0
3720  44652  -6.98e+07  16:03.7
3740  44892  -6.98e+07  16:09.4
3760  45132  -6.98e+07  16:14.8
3780  45372  -6.98e+07  16:20.3
3800  45612  -6.98e+07  16:25.8
3820  45852  -6.98e+07  16:30.9
3840  46092  -6.98e+07  16:37.0
3860  46332  -6.98e+07  16:42.6
3880  46572  -6.98e+07  16:47.5
3900  46812  -6.98e+07  16:52.5
3920  47052  -6.98e+07  16:57.6
3940  47292  -6.98e+07  17:03.3
3945  47340  -6.98e+07  17:04.4
