Iter. Eval.  Best      Time m:s
0     11     -7.17e+09   0:00.4
1     22     -7.05e+09   0:00.6
2     33     -6.47e+09   0:00.8
3     44     -5.76e+09   0:01.0
20    231    -4.78e+09   0:03.8
40    451    -4.52e+09   0:07.5
60    671    -4.47e+09   0:11.1
80    891    -4.46e+09   0:14.4
100   1111   -4.46e+09   0:17.6
120   1331   -4.45e+09   0:20.9
140   1551   -4.45e+09   0:24.0
160   1771   -4.44e+09   0:27.2
180   1991   -4.42e+09   0:30.4
200   2211   -4.27e+09   0:33.8
220   2431   -3.91e+09   0:37.0
240   2651   -3.25e+09   0:40.1
260   2871   -2.95e+09   0:43.1
280   3091   -2.86e+09   0:46.3
300   3311   -2.6e+09    0:49.4
320   3531   -1.96e+09   0:53.2
340   3751   -1.68e+09   0:56.6
360   3971   -1.54e+09   0:59.6
380   4191   -1.49e+09   1:02.7
400   4411   -1.47e+09   1:05.6
420   4631   -1.46e+09   1:08.6
440   4851   -1.45e+09   1:11.6
460   5071   -1.45e+09   1:14.5
480   5291   -1.45e+09   1:17.5
500   5511   -1.43e+09   1:21.2
520   5731   -1.4e+09    1:24.9
540   5951   -1.38e+09   1:28.2
560   6171   -1.36e+09   1:31.6
580   6391   -1.35e+09   1:35.2
600   6611   -1.33e+09   1:38.9
620   6831   -1.3e+09    1:42.2
640   7051   -1.29e+09   1:45.5
660   7271   -1.29e+09   1:48.8
680   7491   -1.29e+09   1:51.9
700   7711   -1.29e+09   1:55.2
720   7931   -1.29e+09   1:58.4
740   8151   -1.29e+09   2:02.2
760   8371   -1.29e+09   2:06.0
780   8591   -1.29e+09   2:09.3
800   8811   -1.29e+09   2:12.6
820   9031   -1.28e+09   2:16.0
840   9251   -1.28e+09   2:19.8
860   9471   -1.28e+09   2:23.3
880   9691   -1.28e+09   2:26.6
900   9911   -1.28e+09   2:29.9
920   10131  -1.28e+09   2:33.0
940   10351  -1.28e+09   2:36.5
960   10571  -1.28e+09   2:40.1
980   10791  -1.28e+09   2:43.7
1000  11011  -1.27e+09   2:47.7
1020  11231  -1.27e+09   2:51.5
1040  11451  -1.26e+09   2:55.0
1060  11671  -1.26e+09   2:58.5
1080  11891  -1.25e+09   3:01.9
1100  12111  -1.24e+09   3:05.5
1120  12331  -1.23e+09   3:09.3
1140  12551  -1.22e+09   3:13.4
1160  12771  -1.2e+09    3:16.8
1180  12991  -1.12e+09   3:20.4
1200  13211  -1.05e+09   3:24.1
1220  13431  -9.38e+08   3:27.8
1240  13651  -8.37e+08   3:31.2
1260  13871  -8.06e+08   3:34.7
1280  14091  -7.4e+08    3:38.3
1300  14311  -7.21e+08   3:41.8
1320  14531  -7.02e+08   3:45.2
1340  14751  -6.82e+08   3:48.5
1360  14971  -6.05e+08   3:52.3
1380  15191  -4.44e+08   3:56.1
1400  15411  -4.2e+08    3:59.6
1420  15631  -3.94e+08   4:02.8
1440  15851  -3.74e+08   4:06.3
1460  16071  -3.64e+08   4:09.8
1480  16291  -3.46e+08   4:13.4
1500  16511  -3.31e+08   4:17.5
1520  16731  -3.21e+08   4:21.5
1540  16951  -3.08e+08   4:25.0
1560  17171  -3.01e+08   4:28.5
1580  17391  -2.88e+08   4:32.0
1600  17611  -2.52e+08   4:35.4
1620  17831  -1.42e+08   4:39.0
1640  18051  -7.52e+07   4:43.0
1660  18271  -5.62e+07   4:46.8
1680  18491  -3.62e+07   4:50.4
1700  18711  -3.02e+07   4:53.9
1720  18931  -2.51e+07   4:57.5
