Iter. Eval.  Best      Time m:s
0     11     -7.7e+09    0:00.7
1     22     -7.67e+09   0:00.9
2     33     -7.62e+09   0:01.1
3     44     -7.52e+09   0:01.3
20    231    -5.26e+09   0:04.3
40    451    -5.2e+09    0:08.2
60    671    -4.73e+09   0:12.1
80    891    -4.66e+09   0:15.8
100   1111   -4.66e+09   0:19.2
120   1331   -4.64e+09   0:22.6
140   1551   -4.63e+09   0:26.1
160   1771   -4.63e+09   0:29.3
180   1991   -4.63e+09   0:32.8
200   2211   -4.63e+09   0:36.3
220   2431   -4.63e+09   0:40.0
240   2651   -4.62e+09   0:43.9
260   2871   -4.61e+09   0:47.5
280   3091   -4.59e+09   0:50.9
300   3311   -4.5e+09    0:54.3
320   3531   -4.1e+09    0:57.6
340   3751   -3.41e+09   1:01.2
360   3971   -3.12e+09   1:04.2
380   4191   -2.8e+09    1:07.4
400   4411   -2.69e+09   1:10.9
420   4631   -2.63e+09   1:14.2
440   4851   -2.51e+09   1:17.6
460   5071   -2.44e+09   1:21.1
480   5291   -2.37e+09   1:24.5
500   5511   -2.27e+09   1:28.9
520   5731   -1.82e+09   1:33.6
540   5951   -1.54e+09   1:36.9
560   6171   -1.52e+09   1:40.5
580   6391   -1.5e+09    1:44.6
600   6611   -1.47e+09   1:48.6
620   6831   -1.44e+09   1:52.5
640   7051   -1.43e+09   1:56.2
660   7271   -1.42e+09   1:59.7
680   7491   -1.41e+09   2:03.4
700   7711   -1.4e+09    2:06.8
720   7931   -1.32e+09   2:10.6
740   8151   -1.18e+09   2:14.5
760   8371   -1.17e+09   2:18.5
780   8591   -1.16e+09   2:22.3
800   8811   -1.16e+09   2:25.7
820   9031   -1.14e+09   2:29.3
840   9251   -1.14e+09   2:32.7
860   9471   -1.13e+09   2:36.3
880   9691   -1.13e+09   2:39.8
900   9911   -1.13e+09   2:43.2
920   10131  -1.13e+09   2:46.8
940   10351  -1.12e+09   2:50.4
960   10571  -1.12e+09   2:54.2
980   10791  -1.11e+09   2:57.9
1000  11011  -1.1e+09    3:02.5
1020  11231  -1.07e+09   3:07.0
1040  11451  -1.06e+09   3:10.8
1060  11671  -1.04e+09   3:14.5
1080  11891  -9.51e+08   3:18.0
1100  12111  -4.01e+08   3:21.6
1120  12331  -2.76e+08   3:25.3
1140  12551  -2.39e+08   3:29.1
1160  12771  -1.92e+08   3:33.8
1180  12991  -1.58e+08   3:37.5
1200  13211  -1.34e+08   3:41.3
1220  13431  -9.66e+07   3:45.4
1240  13651  -9.01e+07   3:49.2
1260  13871  -7.29e+07   3:53.2
1280  14091  -6.52e+07   3:56.9
1300  14311  -5.85e+07   4:00.6
1320  14531  -5.71e+07   4:04.3
1340  14751  -5.51e+07   4:07.9
1360  14971  -4.75e+07   4:11.6
1380  15191  -3.21e+07   4:15.1
1400  15411  -1.92e+07   4:18.7
1420  15631  -1.83e+07   4:22.3
1440  15851  -1.76e+07   4:26.0
1460  16071  -1.76e+07   4:29.7
1480  16291  -1.75e+07   4:33.9
1500  16511  -1.75e+07   4:39.0
1520  16731  -1.75e+07   4:43.2
1540  16951  -1.75e+07   4:46.9
1560  17171  -1.75e+07   4:50.5
1580  17391  -1.75e+07   4:54.2
1600  17611  -1.75e+07   4:57.7
1620  17831  -1.75e+07   5:01.1
1640  18051  -1.75e+07   5:05.2
1660  18271  -1.75e+07   5:09.1
1680  18491  -1.75e+07   5:12.8
1700  18711  -1.74e+07   5:16.4
1720  18931  -1.74e+07   5:20.3
1740  19151  -1.54e+07   5:24.5
1760  19371  -1.4e+07    5:28.1
1780  19591  -1.38e+07   5:31.8
1800  19811  -1.3e+07    5:35.6
1820  20031  -1.18e+07   5:39.2
1840  20251  -1.18e+07   5:42.8
1860  20471  -1.18e+07   5:46.6
1880  20691  -1.18e+07   5:50.4
1900  20911  -1.17e+07   5:54.1
1920  21131  -1.17e+07   5:57.9
1940  21351  -1.17e+07   6:01.6
1960  21571  -1.17e+07   6:05.4
1980  21791  -1.17e+07   6:09.7
2000  22011  -1.17e+07   6:14.7
2020  22231  -1.17e+07   6:19.2
2040  22451  -1.17e+07   6:22.9
2060  22671  -1.16e+07   6:26.7
2080  22891  -1.12e+07   6:30.4
2100  23111  -1.09e+07   6:34.0
2120  23331  -1.06e+07   6:37.9
2140  23551  -1.03e+07   6:42.3
2160  23771  -9968743    6:46.3
2180  23991  -9615800    6:50.0
2200  24211  -9420807    6:53.8
2220  24431  -9328599    6:57.6
2240  24651  -9145005    7:01.4
2260  24871  -8923896    7:05.1
2280  25091  -8797390    7:08.9
2300  25311  -8661012    7:12.7
